# label: Certainty & Safety
# Certainty, safety & norms — likelihood, standards, and necessity.
# Belongs here: sureness/accuracy (確か, 確実, 正確), safety/risk (安全,
# 危険), what is normal/expected (普通, 通常, 当然, 自然), necessity and
# possibility (必要, 十分, 可能, 不可能).
kanji	hiragana	type	english	breakdown
通常	つうじょう	na-adjective	usual; ordinary; normal state	[通: ordinary/general | 常: constant/usual]
安全	あんぜん	na-adjective	safe; secure; safety	[安: at ease/secure | 全: whole/entirely]
危険	きけん	na-adjective	dangerous; risky; danger	[危: danger | 険: steep/harsh]
必要	ひつよう	na-adjective	necessary; needed	[必: certainly/must | 要: need/essential]
確か	たしか	na-adjective	certain; sure; if I recall	[確: certain/firm]
十分	じゅうぶん	na-adjective	enough; sufficient	[十: ten | 分: part/portion]
普通	ふつう	na-adjective	normal; ordinary; usual	[普: universal/general | 通: ordinary]
自然	しぜん	na-adjective	natural	[自: self | 然: state/-like]
確実	かくじつ	na-adjective	certain; reliable; sure	[確: certain | 実: real/actual]
正確	せいかく	na-adjective	accurate; precise; exact	[正: correct | 確: accurate]
当然	とうぜん	na-adjective	natural; obvious; of course	[当: fitting/natural | 然: state/-like]
可能	かのう	na-adjective	possible	[可: possible/can | 能: ability]
不可能	ふかのう	na-adjective	impossible	[不: not | 可: possible | 能: ability]
完全	かんぜん	na-adjective	complete; perfect	[完: complete | 全: whole]
不完全	ふかんぜん	na-adjective	incomplete; imperfect	[不: not | 完: complete | 全: whole]
明確	めいかく	na-adjective	clear; well-defined	[明: clear/bright | 確: definite]
曖昧	あいまい	na-adjective	vague; ambiguous	[曖: dim/obscure | 昧: dark/obscure]
不正確	ふせいかく	na-adjective	inaccurate; imprecise	[不: not | 正: correct | 確: accurate]
妥当	だとう	na-adjective	reasonable; valid; appropriate	[妥: proper/settled | 当: fitting]
異常	いじょう	na-adjective	abnormal; unusual	[異: different/unusual | 常: normal]
不吉	ふきつ	na-adjective	ominous; ill-omened	[不: not | 吉: good fortune]
正常	せいじょう	na-adjective	normal	[正: correct/right | 常: usual/normal]
