# label: Suffix 〜的
# Suffix 〜的 — na-adjectives formed with the 的 suffix ("-ic / -al / -ive").
# Belongs here: any X的 word (積極的, 効果的, 一般的). They attach 的 to a noun
# stem and inflect as na-adjectives (的な / 的に). Grouped by this shared form
# rather than by meaning; a plain na-adjective goes in a themed deck instead.
kanji	hiragana	type	english
積極的	せっきょくてき	na-adjective	proactive; positive; assertive
消極的	しょうきょくてき	na-adjective	passive; reluctant
理想的	りそうてき	na-adjective	ideal
現実的	げんじつてき	na-adjective	realistic; practical
個人的	こじんてき	na-adjective	personal; individual
国際的	こくさいてき	na-adjective	international
具体的	ぐたいてき	na-adjective	concrete; specific
抽象的	ちゅうしょうてき	na-adjective	abstract
魅力的	みりょくてき	na-adjective	attractive; charming
効果的	こうかてき	na-adjective	effective
劇的	げきてき	na-adjective	dramatic
印象的	いんしょうてき	na-adjective	impressive; striking
基本的	きほんてき	na-adjective	basic; fundamental
一般的	いっぱんてき	na-adjective	general; common
本格的	ほんかくてき	na-adjective	authentic; full-scale; genuine
人工的	じんこうてき	na-adjective	artificial; man-made
理性的	りせいてき	na-adjective	rational; level-headed
感情的	かんじょうてき	na-adjective	emotional
魅惑的	みわくてき	na-adjective	fascinating; captivating
