# Degree & quantity adverbs — how much / to what extent.
# Belongs here: intensifiers and amount words (とても, 全然, 少し, たくさん).
# Time/frequency words go in time-frequency.tsv; manner words in manner.tsv.
kanji	hiragana	type	english
全然	ぜんぜん	adverb	(not) at all
絶対	ぜったい	adverb	absolutely; definitely
特に	とくに	adverb	especially; particularly
本当に	ほんとうに	adverb	really; truly
沢山	たくさん	adverb	a lot; many; much
少し	すこし	adverb	a little
大分	だいぶ	adverb	considerably; greatly
なかなか	なかなか	adverb	quite; fairly; (not) easily
ずっと	ずっと	adverb	by far; much more; the whole time
よく	よく	adverb	well; a lot; often
ギリギリ	ギリギリ	adverb	just barely; right to the limit
何でも	なんでも	adverb	anything; everything
