# Time & frequency adverbs — when / how often.
# Belongs here: timing and repetition words (すぐ, まだ, もう, 何度も, 突然).
# Pure amount words go in degree.tsv; manner-of-action in manner.tsv.
kanji	hiragana	type	english
必ず	かならず	adverb	surely; without fail
急に	きゅうに	adverb	suddenly
未だ	まだ	adverb	still; not yet
直ぐ	すぐ	adverb	right away; immediately
もう	もう	adverb	already; any more
何度も	なんども	adverb	many times; repeatedly
暫く	しばらく	adverb	for a while
又	また	adverb	again; also
突然	とつぜん	adverb	suddenly
常に	つねに	adverb	always; constantly
やっと	やっと	adverb	at last; finally
今でも	いまでも	adverb	even now; still
昔から	むかしから	adverb	from long ago; since old times
毎朝	まいあさ	adverb	every morning
