# Counter 〜度 (times/degrees) — counts times/degrees.
# Fully regular — no sound changes.
kanji	hiragana	type	english
一度	いちど	counter	1 times/degrees
二度	にど	counter	2 times/degrees
三度	さんど	counter	3 times/degrees
四度	よんど	counter	4 times/degrees
五度	ごど	counter	5 times/degrees
六度	ろくど	counter	6 times/degrees
七度	ななど	counter	7 times/degrees
八度	はちど	counter	8 times/degrees
九度	きゅうど	counter	9 times/degrees
十度	じゅうど	counter	10 times/degrees
十一度	じゅういちど	counter	11 times/degrees
十二度	じゅうにど	counter	12 times/degrees
十三度	じゅうさんど	counter	13 times/degrees
十四度	じゅうよんど	counter	14 times/degrees
十五度	じゅうごど	counter	15 times/degrees
十六度	じゅうろくど	counter	16 times/degrees
十七度	じゅうななど	counter	17 times/degrees
十八度	じゅうはちど	counter	18 times/degrees
十九度	じゅうきゅうど	counter	19 times/degrees
二十度	にじゅうど	counter	20 times/degrees
