# Counter 〜匹 (small animals) — counts small animals.
# Irregular: 1 いっぴき, 3 さんびき, 6 ろっぴき, 8 はっぴき, 10 じゅっぴき.
kanji	hiragana	type	english
一匹	いっぴき	counter	1 small animals
二匹	にひき	counter	2 small animals
三匹	さんびき	counter	3 small animals
四匹	よんひき	counter	4 small animals
五匹	ごひき	counter	5 small animals
六匹	ろっぴき	counter	6 small animals
七匹	ななひき	counter	7 small animals
八匹	はっぴき	counter	8 small animals
九匹	きゅうひき	counter	9 small animals
十匹	じゅっぴき	counter	10 small animals
十一匹	じゅういっぴき	counter	11 small animals
十二匹	じゅうにひき	counter	12 small animals
十三匹	じゅうさんびき	counter	13 small animals
十四匹	じゅうよんひき	counter	14 small animals
十五匹	じゅうごひき	counter	15 small animals
十六匹	じゅうろっぴき	counter	16 small animals
十七匹	じゅうななひき	counter	17 small animals
十八匹	じゅうはっぴき	counter	18 small animals
十九匹	じゅうきゅうひき	counter	19 small animals
二十匹	にじゅっぴき	counter	20 small animals
