# Counter 〜人 (people) — counts people.
# Irregular: 1 ひとり, 2 ふたり, 4 よにん (and 14 じゅうよにん).
kanji	hiragana	type	english
一人	ひとり	counter	1 people
二人	ふたり	counter	2 people
三人	さんにん	counter	3 people
四人	よにん	counter	4 people
五人	ごにん	counter	5 people
六人	ろくにん	counter	6 people
七人	ななにん	counter	7 people
八人	はちにん	counter	8 people
九人	きゅうにん	counter	9 people
十人	じゅうにん	counter	10 people
十一人	じゅういちにん	counter	11 people
十二人	じゅうににん	counter	12 people
十三人	じゅうさんにん	counter	13 people
十四人	じゅうよにん	counter	14 people
十五人	じゅうごにん	counter	15 people
十六人	じゅうろくにん	counter	16 people
十七人	じゅうななにん	counter	17 people
十八人	じゅうはちにん	counter	18 people
十九人	じゅうきゅうにん	counter	19 people
二十人	にじゅうにん	counter	20 people
