# Counter 〜冊 (books) — counts bound volumes.
# Irregular: 1 いっさつ, 8 はっさつ, 10 じゅっさつ.
kanji	hiragana	type	english
一冊	いっさつ	counter	1 bound volumes
二冊	にさつ	counter	2 bound volumes
三冊	さんさつ	counter	3 bound volumes
四冊	よんさつ	counter	4 bound volumes
五冊	ごさつ	counter	5 bound volumes
六冊	ろくさつ	counter	6 bound volumes
七冊	ななさつ	counter	7 bound volumes
八冊	はっさつ	counter	8 bound volumes
九冊	きゅうさつ	counter	9 bound volumes
十冊	じゅっさつ	counter	10 bound volumes
十一冊	じゅういっさつ	counter	11 bound volumes
十二冊	じゅうにさつ	counter	12 bound volumes
十三冊	じゅうさんさつ	counter	13 bound volumes
十四冊	じゅうよんさつ	counter	14 bound volumes
十五冊	じゅうごさつ	counter	15 bound volumes
十六冊	じゅうろくさつ	counter	16 bound volumes
十七冊	じゅうななさつ	counter	17 bound volumes
十八冊	じゅうはっさつ	counter	18 bound volumes
十九冊	じゅうきゅうさつ	counter	19 bound volumes
二十冊	にじゅっさつ	counter	20 bound volumes
