# Counter 〜つ (native counter) — counts things (native counting).
# All native (kun) readings; only goes to 10 (十 = とお). Use 〜個 beyond that.
kanji	hiragana	type	english
一つ	ひとつ	counter	1 things (native counting)
二つ	ふたつ	counter	2 things (native counting)
三つ	みっつ	counter	3 things (native counting)
四つ	よっつ	counter	4 things (native counting)
五つ	いつつ	counter	5 things (native counting)
六つ	むっつ	counter	6 things (native counting)
七つ	ななつ	counter	7 things (native counting)
八つ	やっつ	counter	8 things (native counting)
九つ	ここのつ	counter	9 things (native counting)
十	とお	counter	10 things (native counting)
