# label: Animals
# Farsi (Persian) — common animals.
# Columns: word / vocalized (harakat-marked reading, for TTS + learning) / label (romanization) / meaning.
word	vocalized	label	meaning
حیوان	حِیوان	heyvaan	animal
سگ	سَگ	sag	dog
گربه	گُرْبِه	gorbe	cat
اسب	اَسْب	asb	horse
گاو	گاو	gaav	cow
گوسفند	گوسْفَنْد	gusfand	sheep
بز	بُز	boz	goat
خروس	خُروس	khorus	rooster
پرنده	پَرَنْدِه	parande	bird
ماهی	ماهی	maahi	fish
موش	موش	mush	mouse
شیر	شیر	shir	lion
ببر	بَبْر	babr	tiger
فیل	فیل	fil	elephant
خرس	خِرْس	khers	bear
گرگ	گُرْگ	gorg	wolf
روباه	روباه	rubaah	fox
خرگوش	خَرْگوش	khargush	rabbit
میمون	مِیمون	meymun	monkey
مار	مار	maar	snake
زنبور	زَنْبور	zanbur	bee
پروانه	پَرْوانِه	parvaane	butterfly
