# label: Body
# Farsi (Persian) — parts of the body.
# Columns: word / vocalized (harakat-marked reading, for TTS + learning) / label (romanization) / meaning.
word	vocalized	label	meaning
بدن	بَدَن	badan	body
سر	سَر	sar	head
مو	مو	mu	hair
صورت	صورَت	surat	face
چشم	چِشْم	cheshm	eye
ابرو	اَبْرو	abru	eyebrow
گوش	گوش	gush	ear
بینی	بینی	bini	nose
دهان	دَهان	dahaan	mouth
لب	لَب	lab	lip
دندان	دَنْدان	dandaan	tooth
زبان	زَبان	zabaan	tongue
گردن	گَرْدَن	gardan	neck
شانه	شانِه	shaane	shoulder
دست	دَسْت	dast	hand / arm
انگشت	اَنْگُشْت	angosht	finger
پا	پا	paa	foot / leg
زانو	زانو	zaanu	knee
قلب	قَلْب	ghalb	heart
شکم	شِکَم	shekam	stomach
پشت	پُشْت	posht	back
پوست	پوسْت	pust	skin
خون	خون	khun	blood
استخوان	اُسْتُخوان	ostokhaan	bone
