# label: Numbers
# Farsi (Persian) — numbers 0–20, tens, hundred, thousand.
# Columns: word / vocalized (harakat-marked reading, fed to TTS + shown as a
# learning aid) / label (romanization) / meaning.
word	vocalized	label	meaning
صفر	صِفْر	sefr	zero
یک	یِک	yek	one
دو	دو	do	two
سه	سِه	se	three
چهار	چَهار	chahaar	four
پنج	پَنْج	panj	five
شش	شِش	shesh	six
هفت	هَفْت	haft	seven
هشت	هَشْت	hasht	eight
نه	نُه	noh	nine
ده	دَه	dah	ten
یازده	یازْدَه	yaazdah	eleven
دوازده	دَوازْدَه	davaazdah	twelve
سیزده	سیزْدَه	sizdah	thirteen
چهارده	چَهارْدَه	chahaardah	fourteen
پانزده	پانْزْدَه	paanzdah	fifteen
شانزده	شانْزْدَه	shaanzdah	sixteen
هفده	هِفْدَه	hefdah	seventeen
هجده	هِجْدَه	hejdah	eighteen
نوزده	نوزْدَه	nuzdah	nineteen
بیست	بیسْت	bist	twenty
سی	سی	si	thirty
چهل	چِهِل	chehel	forty
پنجاه	پَنْجاه	panjaah	fifty
شصت	شَصْت	shast	sixty
هفتاد	هَفْتاد	haftaad	seventy
هشتاد	هَشْتاد	hashtaad	eighty
نود	نَوَد	navad	ninety
صد	صَد	sad	hundred
هزار	هِزار	hezaar	thousand
