# label: Short Words
# Farsi (Persian) — 40 common short words (each ≤ 3 letters).
# Columns: word / vocalized (harakat-marked reading, for TTS + learning) /
# label (romanization) / meaning. Long-vowel words need no harakat, so the
# vocalized form equals the word.
word	vocalized	label	meaning
و	وَ	va	and
در	دَر	dar	in / door
به	بِه	be	to
از	اَز	az	from
با	با	baa	with
که	کِه	ke	that / who
را	را	raa	(object marker)
این	این	in	this
آن	آن	aan	that
من	مَن	man	I
تو	تو	to	you
او	او	u	he / she
ما	ما	maa	we
شما	شُما	shomaa	you (plural)
هم	هَم	ham	also
تا	تا	taa	until
یا	یا	yaa	or
نه	نَه	na	no
آب	آب	aab	water
نان	نان	naan	bread
دل	دِل	del	heart
سر	سَر	sar	head
دست	دَسْت	dast	hand
چشم	چِشْم	cheshm	eye
روز	روز	ruz	day
شب	شَب	shab	night
ماه	ماه	maah	moon / month
سال	سال	saal	year
گل	گُل	gol	flower
خوب	خوب	khub	good
بد	بَد	bad	bad
گرم	گَرْم	garm	warm
سرد	سَرْد	sard	cold
زن	زَن	zan	woman
مرد	مَرْد	mard	man
نام	نام	naam	name
کار	کار	kaar	work
راه	راه	raah	road
شهر	شَهْر	shahr	city
یک	یِک	yek	one
