# label: Time & Days
# Farsi (Persian) — time words and days of the week.
# Columns: word / vocalized (harakat-marked reading, for TTS + learning) / label (romanization) / meaning.
word	vocalized	label	meaning
زمان	زَمان	zamaan	time
روز	روز	ruz	day
شب	شَب	shab	night
صبح	صُبْح	sobh	morning
ظهر	ظُهْر	zohr	noon
عصر	عَصْر	asr	late afternoon
هفته	هَفْتِه	hafte	week
ماه	ماه	maah	month / moon
سال	سال	saal	year
ساعت	ساعَت	saaat	hour / clock
دقیقه	دَقیقِه	daghighe	minute
ثانیه	ثانیِه	saaniye	second
امروز	اِمْروز	emruz	today
فردا	فَرْدا	fardaa	tomorrow
دیروز	دیروز	diruz	yesterday
امشب	اِمْشَب	emshab	tonight
الان	اَلان	alaan	now
شنبه	شَنْبِه	shanbe	Saturday
یکشنبه	یِکْشَنْبِه	yekshanbe	Sunday
دوشنبه	دوشَنْبِه	doshanbe	Monday
سه‌شنبه	سِه‌شَنْبِه	seshanbe	Tuesday
چهارشنبه	چَهارْشَنْبِه	chahaarshanbe	Wednesday
پنجشنبه	پَنْجْشَنْبِه	panjshanbe	Thursday
جمعه	جُمْعِه	jome	Friday
