# label: Causative (〜せる / 〜させる)
# One causative example per verb class — godan (行く), ichidan (食べる),
# and the irregulars する / 来る. Add more verb roots here to broaden the form.
# Dictionary forms live in verbs/; this deck is the conjugation paradigm.
kanji	hiragana	type	english	breakdown
行かせる	いかせる	godan-verb	(godan) causative — make/let go	[行: go/travel]
食べさせる	たべさせる	ichidan-verb	(ichidan) causative — make/let eat	[食: eat/food]
させる	させる	irregular-verb	(する) causative — make/let do
来させる	こさせる	irregular-verb	(来る) causative — make/let come	[来: come]
買わせる	かわせる	godan-verb	(godan) causative — make/let buy	[買: buy]
書かせる	かかせる	godan-verb	(godan) causative — make/let write	[書: write]
泳がせる	およがせる	godan-verb	(godan) causative — make/let swim	[泳: swim]
話させる	はなさせる	godan-verb	(godan) causative — make/let speak	[話: speak/talk]
待たせる	またせる	godan-verb	(godan) causative — make/let wait	[待: wait]
死なせる	しなせる	godan-verb	(godan) causative — make/let die	[死: die]
遊ばせる	あそばせる	godan-verb	(godan) causative — make/let play	[遊: play]
飲ませる	のませる	godan-verb	(godan) causative — make/let drink	[飲: drink]
取らせる	とらせる	godan-verb	(godan) causative — make/let take	[取: take]
見させる	みさせる	ichidan-verb	(ichidan) causative — make/let see	[見: see/look]
