# label: Verb — Imperative
# One imperative example per verb class — godan (行く), ichidan (食べる),
# and the irregulars する / 来る. Add more verb roots here to broaden the form.
# Dictionary forms live in verbs/; this deck is the conjugation paradigm.
kanji	hiragana	type	english	breakdown
行け	いけ	godan-verb	(godan) imperative — go!	[行: go/travel]
食べろ	たべろ	ichidan-verb	(ichidan) imperative — eat!	[食: eat/food]
しろ	しろ	irregular-verb	(する) imperative — do!
来い	こい	irregular-verb	(来る) imperative — come!	[来: come]
買え	かえ	godan-verb	(godan) imperative — buy!	[買: buy]
書け	かけ	godan-verb	(godan) imperative — write!	[書: write]
泳げ	およげ	godan-verb	(godan) imperative — swim!	[泳: swim]
話せ	はなせ	godan-verb	(godan) imperative — speak!	[話: speak/talk]
待て	まて	godan-verb	(godan) imperative — wait!	[待: wait]
死ね	しね	godan-verb	(godan) imperative — die!	[死: die]
遊べ	あそべ	godan-verb	(godan) imperative — play!	[遊: play]
飲め	のめ	godan-verb	(godan) imperative — drink!	[飲: drink]
取れ	とれ	godan-verb	(godan) imperative — take!	[取: take]
見ろ	みろ	ichidan-verb	(ichidan) imperative — see!	[見: see/look]
