# label: Verb — Volitional (〜う / 〜よう)
# One volitional example per verb class — godan (行く), ichidan (食べる),
# and the irregulars する / 来る. Add more verb roots here to broaden the form.
# Dictionary forms live in verbs/; this deck is the conjugation paradigm.
kanji	hiragana	type	english	breakdown
行こう	いこう	godan-verb	(godan) volitional — let's go	[行: go/travel]
食べよう	たべよう	ichidan-verb	(ichidan) volitional — let's eat	[食: eat/food]
しよう	しよう	irregular-verb	(する) volitional — let's do
来よう	こよう	irregular-verb	(来る) volitional — let's come	[来: come]
買おう	かおう	godan-verb	(godan) volitional — let's buy	[買: buy]
書こう	かこう	godan-verb	(godan) volitional — let's write	[書: write]
泳ごう	およごう	godan-verb	(godan) volitional — let's swim	[泳: swim]
話そう	はなそう	godan-verb	(godan) volitional — let's speak	[話: speak/talk]
待とう	まとう	godan-verb	(godan) volitional — let's wait	[待: wait]
死のう	しのう	godan-verb	(godan) volitional — let's die	[死: die]
遊ぼう	あそぼう	godan-verb	(godan) volitional — let's play	[遊: play]
飲もう	のもう	godan-verb	(godan) volitional — let's drink	[飲: drink]
取ろう	とろう	godan-verb	(godan) volitional — let's take	[取: take]
見よう	みよう	ichidan-verb	(ichidan) volitional — let's see	[見: see/look]
