# Conjunctions & connective forms (接続詞・接続助詞) — words that link clauses.
# Belongs here: sentence-initial connectives (しかし, だから, それで, つまり) and
# bound connective forms (ので, から). Single-mora clause particles (が, し) live
# in particles.tsv; multi-mora bound patterns in sentence-patterns.tsv.
kanji	hiragana	type	english
なので	なので	conjunction	and so; therefore (sentence-initial)
ので	ので	conjunction	because; so
てから	てから	conjunction	after doing
たら	たら	conjunction	if; when (after it happens)
しかし	しかし	conjunction	however; but
だから	だから	conjunction	so; therefore
それで	それで	conjunction	and then; so; because of that
そして	そして	conjunction	and; and then
でも	でも	conjunction	but; however (casual, sentence-initial)
けれども	けれども	conjunction	but; however; although
ところで	ところで	conjunction	by the way (changing topic)
つまり	つまり	conjunction	in other words; that is to say
または	または	conjunction	or; alternatively
すると	すると	conjunction	thereupon; and then
とはいえ	とはいえ	conjunction	that said; even so
ただし	ただし	conjunction	however; provided that
なお	なお	conjunction	furthermore; note that
また	また	conjunction	also; again; moreover
それに	それに	conjunction	besides; moreover
さらに	さらに	conjunction	furthermore; moreover
そのため	そのため	conjunction	therefore; for that reason
ちなみに	ちなみに	conjunction	incidentally; by the way
