# label: Olympians
# The Olympian gods (+ the chthonic pair Hades & Persephone, commonly grouped
# with them). Ancient words, monotonic spelling. Columns:
# greek / translit (scholarly Latin) / english (name) / type (domain).
greek	translit	english	type
Ζεύς	Zeús	Zeus	King of the gods, sky
Ήρα	Hḗra	Hera	Queen, marriage
Ποσειδών	Poseidôn	Poseidon	Sea, earthquakes
Δημήτηρ	Dēmḗtēr	Demeter	Harvest, grain
Αθηνά	Athēnâ	Athena	Wisdom, war, craft
Απόλλων	Apóllōn	Apollo	Sun, music, prophecy
Άρτεμις	Ártemis	Artemis	Hunt, moon, wild
Άρης	Árēs	Ares	War
Αφροδίτη	Aphrodítē	Aphrodite	Love, beauty
Ήφαιστος	Hḗphaistos	Hephaestus	Fire, the forge
Ερμής	Hermês	Hermes	Messenger, trade, travel
Εστία	Hestía	Hestia	Hearth, home
Διόνυσος	Diónysos	Dionysus	Wine, revelry
Άδης	Háidēs	Hades	Underworld
Περσεφόνη	Persephónē	Persephone	Queen of the underworld
