# label: Primordials
# The Protogenoi — the first beings, born at the dawn of the cosmos. Ancient
# polytonic. Columns: greek / translit / english (name) / type (domain).
greek	translit	english	type
Χάος	Cháos	Chaos	The primordial void
Γαία	Gaîa	Gaia	Earth
Τάρταρος	Tártaros	Tartarus	The abyss below
Έρως	Érōs	Eros	Procreative love
Έρεβος	Érebos	Erebus	Darkness
Νύξ	Nýx	Nyx	Night
Ουρανός	Ouranós	Uranus	Sky, the heavens
Πόντος	Póntos	Pontus	The sea
Αιθήρ	Aithḗr	Aether	Upper air, light
Ημέρα	Hēméra	Hemera	Day
