# Feelings & sensations — a person's emotions and bodily states.
# Belongs here: emotions (嬉しい, 悲しい, 寂しい) and body sensations (痛い,
# 眠い, かゆい, だるい). Judging a person/thing goes in character.tsv.
kanji	hiragana	type	english
嬉しい	うれしい	i-adjective	happy; glad
悲しい	かなしい	i-adjective	sad
楽しい	たのしい	i-adjective	fun; enjoyable
苦しい	くるしい	i-adjective	painful; distressing
痛い	いたい	i-adjective	painful; sore
怖い	こわい	i-adjective	scary; frightening; afraid
欲しい	ほしい	i-adjective	wanted; desired
眠い	ねむい	i-adjective	sleepy
かゆい	かゆい	i-adjective	itchy
だるい	だるい	i-adjective	sluggish; languid
寂しい	さびしい	i-adjective	lonely
恥ずかしい	はずかしい	i-adjective	embarrassed; ashamed
羨ましい	うらやましい	i-adjective	envious
憎い	にくい	i-adjective	hateful; detestable
心強い	こころづよい	i-adjective	reassuring
心細い	こころぼそい	i-adjective	helpless; forlorn; uneasy
悔しい	くやしい	i-adjective	frustrating; mortifying; regrettable
懐かしい	なつかしい	i-adjective	nostalgic; dear; fondly remembered
情けない	なさけない	i-adjective	pathetic; miserable; shameful
凄まじい	すさまじい	i-adjective	terrific; fierce; tremendous
恨めしい	うらめしい	i-adjective	resentful; reproachful
虚しい	むなしい	i-adjective	empty; futile; vain
