# nature kanji (N1).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
桜	オウ	さくら	cherry blossom	木	きへん	木、⺍、女	10	5
沢	タク	さわ	swamp; marsh; abundance	氵	さんずい	氵、尺	7
崎		さき	cape; promontory	山	やまへん	山、奇	11
稲	トウ	いね、いな	rice plant	禾	のぎへん	禾、舀	14
華	カ、ケ	はな	flower; splendor; China	艹	くさかんむり	艹、龶	10
沖	チュウ	おき	open sea; offing	氵	さんずい	氵、中	7	4
江	コウ	え	inlet; bay; large river	氵	さんずい	氵、工	6
丘	キュウ	おか	hill; mound	一	いち	斤、一	5
縄	ジョウ	なわ	rope; cord	糸	いとへん	糸、黽	15	4
井	セイ、ショウ	い	well (water)	二	に		4
甲	コウ、カン		armor; shell; first (rank)	田	た		5
藤	トウ	ふじ	wisteria	艹	くさかんむり	艹、滕	18
潮	チョウ	しお	tide; current; seawater	氵	さんずい	氵、朝	15	6
炎	エン	ほのお	flame; blaze; inflammation	火	ひ	火、火	8
玄	ゲン		mysterious; occult; deep	玄	げん		5
杉	サン	すぎ	cedar; cryptomeria	木	きへん	木、彡	7
桃	トウ	もも	peach	木	きへん	木、兆	10
梨		なし	pear	木	き	利、木	11	4
竜	リュウ	たつ	dragon	竜	りゅう		10
虎	コ	とら	tiger	虍	とらかんむり	虍、儿	8
鯉	リ	こい	carp	魚	うおへん	魚、里	18
鯨	ゲイ	くじら	whale	魚	うおへん	魚、京	19
猿	エン	さる	monkey; ape	犭	けものへん	犭、袁	13
豚	トン	ぶた	pig; pork	月	にくづき	月、豕	11
鳩	キュウ	はと	pigeon; dove	鳥	とり	九、鳥	13
蝶	チョウ		butterfly	虫	むしへん	虫、枼	15
蚊		か	mosquito	虫	むしへん	虫、文	10
菊	キク		chrysanthemum	艹	くさかんむり	艹、匊	11
霜	ソウ	しも	frost	雨	あめかんむり	雨、相	17
津	シン	つ	harbor; ferry; saliva	氵	さんずい	氵、聿	9
滝		たき	waterfall; rapids	氵	さんずい	氵、竜	13
虹		にじ	rainbow	虫	むしへん	虫、工	9
潟		かた	lagoon; tideland	氵	さんずい	氵、舄	15	4
浜	ヒン	はま	beach; seashore	氵	さんずい	氵、兵	10
霧	ム	きり	fog; mist	雨	あめかんむり	雨、務	19
雷	ライ	かみなり	thunder; lightning	雨	あめかんむり	雨、田	13
露	ロ、ロウ	つゆ	dew; to expose; Russia	雨	あめかんむり	雨、路	21
隣	リン	とな(る)、となり	neighbor; adjacent	阝	こざとへん	阝、粦	16
峡	キョウ		gorge; ravine; strait	山	やまへん	山、夾	9
渓	ケイ		mountain stream; valley	氵	さんずい	氵、奚	11
瀬		せ	rapids; shallows; current	氵	さんずい	氵、頼	19
鎌		かま	sickle; scythe	金	かねへん	金、兼	18
朽	キュウ	く(ちる)	to rot; to decay	木	きへん	木、丂	6
狂	キョウ	くる(う)、くる(おしい)	to go mad; crazy	犭	けものへん	犭、王	7
鷹		たか	hawk; falcon	鳥	とり	广、亻、隹、鳥	24
穂	スイ	ほ	ear (of grain); head; tip	禾	のぎへん	禾、恵	15
萌	ホウ	も(える)	to sprout; to bud	艹	くさかんむり	艹、明	11
蓮	レン	はす	lotus	艹	くさかんむり	艹、連	13
葵	キ	あおい	hollyhock; mallow; (name)	艹	くさかんむり	艹、癸	12
浦	ホ	うら	bay; inlet; seashore	氵	さんずい	氵、甫	10
茄	カ	なす	eggplant	艹	くさかんむり	艹、加	8
鯛	チョウ	たい	sea bream	魚	うおへん	魚、周	19
塚	チョウ	つか	mound; hillock	土	つちへん	土、冢	12
岬	コウ	みさき	cape; promontory; headland	山	やまへん	山、甲	8
藍	ラン	あい	indigo (dye/color)	艹	くさかんむり	艹、監	18
茜	セン	あかね	madder; deep red; (name)	艹	くさかんむり	艹、西	9
旭	キョク	あさひ	morning sun; (name)	日	ひ	九、日	6
梓	シ	あずさ	catalpa; printing block; (name)	木	きへん	木、辛	11
絢	ケン	あや	figured cloth; beautiful; (name)	糸	いとへん	糸、旬	12
綾	リョウ	あや	twill; figured cloth; (name)	糸	いとへん	糸、夌	14
鮎	デン	あゆ	sweetfish; ayu	魚	うおへん	魚、占	16
杏	キョウ、アン	あんず	apricot; (name)	木	き	木、口	7
芋	ウ	いも	potato; tuber	艹	くさかんむり	艹、于	6
磯	キ	いそ	rocky beach; seashore	石	いしへん	石、幾	17
渦	カ	うず	whirlpool; vortex; eddy	氵	さんずい	氵、咼	12
垣	エン	かき	fence; hedge; wall	土	つちへん	土、亘	9
樺	カ	かば	birch; (name)	木	きへん	木、華	14
霞	カ	かすみ、かす(む)	haze; mist; (name)	雨	あめかんむり	雨、叚	17
苑	エン	その	garden; park; (name)	艹	くさかんむり	艹、夗	8
卯	ボウ	う	rabbit (zodiac); 5-7am	卩	ふしづくり		5
丑	チュウ	うし	ox (zodiac); 1-3am	一	いち		4
亥	ガイ	い	boar (zodiac); 9-11pm	亠	なべぶた	亠、豕	6
乙	オツ	おと	second (rank); B; quaint	乙	おつ		1
浩	コウ		vast; wide; abundant; (name)	氵	さんずい	氵、告	10
冶	ヤ		smelting; casting	冫	にすい	冫、台	7
炉	ロ		hearth; furnace; stove	火	ひへん	火、戸	8
