# people society kanji (N1).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
佐	サ		to assist; help	亻	にんべん	亻、左	7
義	ギ		justice; righteousness; meaning	羊	ひつじ	羊、我	13	5
証	ショウ		proof; evidence; certificate	言	ごんべん	言、正	12	5
衆	シュウ、シュ		masses; people; multitude	血	ち	血、乑	12	6
僧	ソウ		Buddhist priest; monk	亻	にんべん	亻、曽	13
句	ク		phrase; clause; verse	口	くち	勹、口	5	5
弁	ベン		speech; dialect; valve; to manage	廾	にじゅうあし	厶、廾	5	5
訳	ヤク	わけ	translation; reason; meaning	言	ごんべん	言、尺	11	6
監	カン		to oversee; supervision	皿	さら	臣、皿	15	6
那	ナ		what; (phonetic na)	阝	おおざと	冄、阝	7
伊	イ		Italy; that (one)	亻	にんべん	亻、尹	6
己	コ、キ	おのれ	self; oneself	己	おのれ		3	6
郷	キョウ、ゴウ		hometown; village; rural	阝	おおざと	乡、皀、阝	11	6
岐	キ		fork (in road); branch	山	やまへん	山、支	7
豪	ゴウ		strong; splendid; Australia	豕	いのこ	亠、口、豕	14
仙	セン		hermit; wizard; cent	亻	にんべん	亻、山	5
僚	リョウ		colleague; official	亻	にんべん	亻、尞	14
督	トク		to supervise; to urge; commander	目	め	叔、目	13
輩	ハイ		comrade; fellows; -s (plural)	車	くるま	非、車	15
郎	ロウ		son; man; (name suffix)	阝	おおざと	良、阝	9
阿	ア		(phonetic a); flattery; Africa	阝	こざとへん	阝、可	8
奴	ド	やつ	guy; slave; fellow	女	おんなへん	女、又	5
覇	ハ		supremacy; champion; hegemony	襾	おおいかんむり	覀、革、月	19
派	ハ		faction; sect; to dispatch	氵	さんずい	氵、𠂢	9	6
俳	ハイ		haiku; actor; comic	亻	にんべん	亻、非	10	6
偵	テイ		spy; to investigate	亻	にんべん	亻、貞	11
謙	ケン		modesty; humility	言	ごんべん	言、兼	17
誠	セイ	まこと	sincerity; truth	言	ごんべん	言、成	13	6
邸	テイ		residence; mansion	阝	おおざと	氐、阝	8
騰	トウ		to rise; to soar; inflation	馬	うま	朕、馬	20
僕	ボク		I (male); servant; manservant	亻	にんべん	亻、菐	14
亮	リョウ		clear; help; (name)	亠	なべぶた	亠、口、儿	9
輔	ホ		to assist; help; (name)	車	くるまへん	車、甫	14
郁	イク		fragrant; cultured; (name)	阝	おおざと	有、阝	9
允	イン		license; permit; (name)	儿	ひとあし	厶、儿	4
姻	イン		marriage; in-laws	女	おんなへん	女、因	9
胤	イン	たね	lineage; offspring; (name)	月	にくづき	月、幺、八	9
翁	オウ	おきな	old man; venerable	羽	はね	公、羽	10
尉	イ		military officer; rank	寸	すん	尸、示、寸	11
威	イ		authority; majesty; threat	女	おんな	厂、戈、女	9
隷	レイ		slave; servant; subordinate	隶	れいづくり	柰、隶	16
寮	リョウ		dormitory; hostel	宀	うかんむり	宀、尞	15
廊	ロウ		corridor; hallway	广	まだれ	广、郎	12
