# abstract concept kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
勢	セイ	いきお(い)	force; energy; momentum	力	ちから	埶、力	13	5
総	ソウ		general; total; whole	糸	いとへん	糸、忩	14	5
団	ダン、トン		group; association; ball	囗	くにがまえ	囗、寸	6	5
久	キュウ、ク	ひさ(しい)	long time; eternal	丿	の		3	5
頃	ケイ	ころ	time; about (when)	頁	おおがい	匕、頁	11
比	ヒ	くら(べる)	to compare; ratio	比	くらべる		4	5
裏	リ	うら	back; reverse; inside	衣	ころも	里、衣	13	6
囲	イ	かこ(む)、かこ(う)	to surround; to enclose	囗	くにがまえ	囗、井	7	4
辺	ヘン	あた(り)、べ	vicinity; area; side	辶	しんにょう	辶、刀	5	4
諸	ショ		various; several	言	ごんべん	言、者	15	6
並	ヘイ	なみ、なら(べる)、なら(ぶ)	row; ordinary; to line up	一	いち	䒑、业	8	6
乱	ラン	みだ(れる)、みだ(す)	disorder; riot; to disturb	乙	おつ	舌、乚	7	6
略	リャク		abbreviation; outline; to omit	田	たへん	田、各	11	5
準	ジュン		standard; semi-; to conform	氵	さんずい	氵、隹、十	13	5
圧	アツ		pressure; to press	土	つち	厂、土	5	5
普	フ		general; universal; ordinary	日	ひ	並、日	12
宇	ウ		eaves; universe; heaven	宀	うかんむり	宀、于	6	6
況	キョウ		condition; situation	氵	さんずい	氵、兄	8
般	ハン		sort; carrying; general	舟	ふねへん	舟、殳	10
固	コ	かた(い)、かた(める)	hard; firm; to harden	囗	くにがまえ	囗、古	8	4
巨	キョ		huge; gigantic	工	たくみ		5
則	ソク		rule; law; to follow	刂	りっとう	貝、刂	9	5
了	リョウ		to finish; to complete; to understand	亅	はねぼう		2
希	キ		hope; rare	巾	はば	㐅、巾	7	4
複	フク		duplicate; compound; multiple	衤	ころもへん	衤、复	14	5
副	フク		vice-; secondary; copy	刂	りっとう	畐、刂	11	4
跡	セキ	あと	mark; trace; ruins	足	あしへん	足、亦	13
復	フク		to restore; again; repeat	彳	ぎょうにんべん	彳、复	12	5
逆	ギャク	さか、さか(らう)	reverse; inverse; to oppose	辶	しんにょう	屰、辶	9	5
超	チョウ	こ(える)、こ(す)	to exceed; super-; ultra-	走	そうにょう	走、召	12
荒	コウ	あ(らい)、あ(れる)、あ(らす)	rough; wild; to ruin	艹	くさかんむり	艹、亡、川	9
栄	エイ	さか(える)、は(える)	glory; to flourish	木	き	⺍、冖、木	9	4
汚	オ	きたな(い)、よご(れる)、けが(す)	dirty; to pollute	氵	さんずい	氵、亏	6
柔	ジュウ、ニュウ	やわ(らかい)、やわ(らか)	soft; gentle; flexible	木	き	矛、木	9
鋭	エイ	するど(い)	sharp; acute; pointed	金	かねへん	金、兌	15
鈍	ドン	にぶ(い)、にぶ(る)	dull; blunt; slow	金	かねへん	金、屯	12
軟	ナン	やわ(らかい)、やわ(らか)	soft; flexible	車	くるまへん	車、欠	11
珍	チン	めずら(しい)	rare; unusual; curious	王	おうへん	王、㐱	9
豊	ホウ	ゆた(か)	abundant; rich	豆	まめ	曲、豆	13	5
純	ジュン		pure; genuine; simple	糸	いとへん	糸、屯	10	6
