# body health kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
血	ケツ	ち	blood	血	ち	丿、皿	6	3
胸	キョウ	むね	chest; breast	月	にくづき	月、匈	10	6
腰	ヨウ	こし	waist; lower back	月	にくづき	月、要	13
肩	ケン	かた	shoulder	月	にくづき	戸、月	8
脳	ノウ		brain; memory	月	にくづき	月、㛣	11	6
骨	コツ	ほね	bone	骨	ほね	冎、月	10	6
肌		はだ	skin; texture	月	にくづき	月、几	6
臓	ゾウ		internal organs; viscera	月	にくづき	月、蔵	19	6
膝		ひざ	knee; lap	月	にくづき	月、桼	15
鼻	ビ	はな	nose	鼻	はな	自、田、廾	14	3
皮	ヒ	かわ	skin; leather	皮	けがわ		5	3
膚		はだ	skin; surface	月	にくづき	虍、胃	15
胃	イ		stomach	肉	にく	田、月	9	4
脂	シ	あぶら	fat; grease; tallow	月	にくづき	月、旨	10
患	カン	わずら(う)	to afflict; illness; -patient	心	こころ	串、心	11
療	リョウ		to heal; medical treatment	疒	やまいだれ	疒、尞	17	6
齢	レイ		age; years	歯	は	歯、令	17
腕	ワン	うで	arm; skill	月	にくづき	月、宛	12
毛	モウ	け	fur; hair; wool	毛	け		4	2
尻		しり	buttocks; bottom; end	尸	しかばね	尸、九	5
涙	ルイ	なみだ	tears	氵	さんずい	氵、戻	10
汗	カン	あせ	sweat	氵	さんずい	氵、干	6
脇		わき	side; armpit; supporting role	月	にくづき	月、劦	10
辛	シン	から(い)、つら(い)	spicy; bitter; painful	辛	からい		7
