# Body & nature kanji (N2, grade 4).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
衣	イ	ころも	clothing; garment	衣	ころも		6	4
胃	イ		stomach	肉	にく	田、月	9	4
芽	ガ	め	bud; sprout	艹	くさかんむり	艹、牙	8	4
脈	ミャク		pulse; vein	月	にくづき	月、𠂢	10	4
浴	ヨク	あ(びる)、あ(びせる)	to bathe; to be showered	氵	さんずい	氵、谷	10	4
養	ヨウ	やしな(う)	to foster; to nourish	食	しょく	羊、食	15	4
香	コウ、キョウ	か、かお(り)、かお(る)	fragrance; scent	香	かおり	禾、日	9	4
梅	バイ	うめ	plum; ume	木	きへん	木、毎	10	4
松	ショウ	まつ	pine tree	木	きへん	木、公	8	4
象	ショウ、ゾウ		elephant; phenomenon; shape	豕	いのこ	⺈、豕	12	4
漁	ギョ、リョウ		fishing; fishery	氵	さんずい	氵、魚	14	4
巣	ソウ	す	nest; den; hive	巛	かわ	⺍、田、木	11	4
灯	トウ	ひ	lamp; light	火	ひへん	火、丁	6	4
清	セイ、ショウ	きよ(い)、きよ(める)	pure; clear	氵	さんずい	氵、青	11	4
