# economy trade kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
税	ゼイ		tax	禾	のぎへん	禾、兌	12	5
額	ガク	ひたい	forehead; framed picture; amount	頁	おおがい	客、頁	18	5
販	ハン		to sell; trade	貝	かい	貝、反	11
貿	ボウ		trade	貝	かい	卯、貝	12	5
貯	チョ		to save up; to store	貝	かい	貝、宁	12	5
預	ヨ	あず(ける)、あず(かる)	to deposit; to entrust	頁	おおがい	予、頁	13	6
損	ソン	そこ(なう)、そこ(ねる)	loss; to harm	扌	てへん	扌、員	13	5
賞	ショウ		prize; reward; to praise	貝	かい	尚、貝	15	4
寿	ジュ	ことぶき	longevity; congratulations	寸	すん	龹、寸	7
雇	コ	やと(う)	to employ; to hire	隹	ふるとり	戸、隹	12
耕	コウ	たがや(す)	to cultivate; to till	耒	らいすき	耒、井	10	5
績	セキ		achievements; spinning	糸	いとへん	糸、責	17	5
募	ボ	つの(る)	to recruit; to collect; to grow	力	ちから	莫、力	12
貨	カ		freight; goods; money	貝	かい	化、貝	11	4
券	ケン		ticket; coupon; certificate	刀	かたな	龹、刀	8	6
