# food cooking kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
焼	ショウ	や(く)、や(ける)	to bake; to burn; to grill	火	ひへん	火、尭	12	4
湯	トウ	ゆ	hot water; bath	氵	さんずい	氵、昜	12	3
油	ユ	あぶら	oil	氵	さんずい	氵、由	8	3
乳	ニュウ	ちち、ち	milk; breast	乚	おつ	孚、乚	8	6
塩	エン	しお	salt	土	つちへん	土、监	13	4
粉	フン	こ、こな	powder; flour	米	こめへん	米、分	10	4
麦	バク	むぎ	wheat; barley	麦	むぎ	龶、夂	7	2
卵	ラン	たまご	egg	卩	ふしづくり	卯、丶	7	6
菓	カ		confectionery; sweets	艹	くさかんむり	艹、果	11
溶	ヨウ	と(ける)、と(かす)、と(く)	to melt; to dissolve	氵	さんずい	氵、容	13
甘	カン	あま(い)、あま(える)	sweet; to be lenient	甘	あまい		5
乾	カン	かわ(く)、かわ(かす)	dry; to dry	乙	おつ	龺、乙	11
農	ノウ		agriculture; farming	辰	しんのたつ	曲、辰	13	3
