# measure quantity kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
量	リョウ	はか(る)	quantity; to measure	里	さと	旦、里	12	4
個	コ		individual; counter for items	亻	にんべん	亻、固	10	5
各	カク	おのおの	each; every	口	くち	夂、口	6	4
極	キョク、ゴク	きわ(める)、きわ(み)	extreme; pole; very	木	きへん	木、亟	12	4
低	テイ	ひく(い)、ひく(める)	low; to lower	亻	にんべん	亻、氐	7	4
短	タン	みじか(い)	short; brief	矢	やへん	矢、豆	12	3
倍	バイ		double; -fold; times	亻	にんべん	亻、咅	10	3
枚	マイ		counter for flat objects	木	きへん	木、攵	8	6
丈	ジョウ	たけ	height; length; stature	一	いち	𠂇、乂	3
順	ジュン		order; sequence; obedience	頁	おおがい	川、頁	12	4
厚	コウ	あつ(い)	thick; kind; generous	厂	がんだれ	厂、日、子	9	5
濃	ノウ	こ(い)	dark; thick; concentrated	氵	さんずい	氵、農	16
簡	カン		simple; brief	竹	たけかんむり	竹、間	18	6
均	キン		level; even; equal	土	つちへん	土、勻	7	5
双	ソウ	ふた	pair; both; twin	又	また	又、又	4
軒	ケン	のき	eaves; counter for houses	車	くるまへん	車、干	10
兆	チョウ	きざ(す)、きざ(し)	trillion; sign; omen	儿	ひとあし		6	4
冊	サツ、サク		counter for books; volume	冂	けいがまえ		5	6
粒	リュウ	つぶ	grain; drop; counter	米	こめへん	米、立	11
匹	ヒツ	ひき	counter for animals; equal	匸	かくしがまえ	匸、儿	4
隻	セキ		counter for ships/birds; single	隹	ふるとり	隹、又	10
零	レイ		zero; nil; to overflow (drops)	雨	あめかんむり	雨、令	13
秒	ビョウ		second (time)	禾	のぎへん	禾、少	9	3
層	ソウ		layer; stratum; class	尸	しかばね	尸、曽	14	6
弱	ジャク	よわ(い)、よわ(る)	weak	弓	ゆみ	弓、冫	10	2
幅	フク	はば	width; breadth	巾	はばへん	巾、畐	12
億	オク		hundred million	亻	にんべん	亻、意	15	4
輪	リン	わ	ring; wheel; counter for flowers	車	くるまへん	車、侖	15	4
