# nature land kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
谷	コク	たに	valley	谷	たに	八、口	7	2
泉	セン	いずみ	spring; fountain	水	みず	白、水	9	6
河	カ	かわ	river	氵	さんずい	氵、可	8	5
岸	ガン	きし	shore; bank; coast	山	やまかんむり	山、厂、干	8	3
湖	コ	みずうみ	lake	氵	さんずい	氵、胡	12	3
湾	ワン		bay; gulf	氵	さんずい	氵、弯	12
陸	リク		land; shore	阝	こざとへん	阝、坴	11	4
域	イキ		region; area; limits	土	つちへん	土、或	11	6
州	シュウ	す	state; province; sandbank	川	かわ		6	3
境	キョウ、ケイ	さかい	boundary; border	土	つちへん	土、竟	14	5
丸	ガン	まる、まる(い)、まる(める)	round; circle; whole	丶	てん		3	2
岩	ガン	いわ	rock; crag	山	やま	山、石	8	2
林	リン	はやし	woods; grove	木	きへん	木、木	8	1
森	シン	もり	forest	木	き	木、木、木	12	1
池	チ	いけ	pond	氵	さんずい	氵、也	6	2
