# plants animals kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
竹	チク	たけ	bamboo	竹	たけ		6	1
羽	ウ	は、はね	feather; wing; counter for birds	羽	はね		6	2
根	コン	ね	root	木	きへん	木、艮	10	3
枝	シ	えだ	branch; bough	木	きへん	木、支	8	5
枯	コ	か(れる)、か(らす)	to wither; to die (plant)	木	きへん	木、古	9
貝		かい	shellfish; shell	貝	かい		7	1
虫	チュウ	むし	insect; bug	虫	むし		6	1
漁	ギョ、リョウ		fishing; fishery	氵	さんずい	氵、魚	14	4
畜	チク		livestock; domestic animals	田	た	玄、田	10
菜	サイ	な	vegetable; greens	艹	くさかんむり	艹、采	11	4
玉	ギョク	たま	ball; jewel; gem	玉	たま		5	1
糸	シ	いと	thread; string	糸	いと		6	1
綿	メン	わた	cotton; continuing	糸	いとへん	糸、帛	14	5
象	ショウ、ゾウ		elephant; phenomenon; shape	豕	いのこ	⺈、豕	12	4
植	ショク	う(える)、う(わる)	to plant	木	きへん	木、直	12	3
咲		さ(く)	to bloom; to blossom	口	くちへん	口、关	9
