# society government kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
軍	グン		army; military	車	くるま	冖、車	9	4
兵	ヘイ、ヒョウ		soldier	八	はち	斤、八	7	4
武	ブ、ム		military; warrior	止	とめる	弋、止	8	5
城	ジョウ	しろ	castle	土	つちへん	土、成	9	4
党	トウ		party; faction	儿	ひとあし	尚、儿	10	6
史	シ		history	口	くち	口、乂	5	4
営	エイ	いとな(む)	to manage; to run	口	くち	⺍、冖、呂	12	5
府	フ		urban prefecture; government office	广	まだれ	广、付	8	4
将	ショウ		general; commander; leader	寸	すん	爿、夕、寸	10	6
県	ケン		prefecture	目	め	目、小	9	3
領	リョウ		territory; to govern	頁	おおがい	令、頁	14	5
臣	シン、ジン		retainer; subject; minister	臣	しん		7	4
殿	デン、テン	との、どの	palace; lord; -dono	殳	るまた	尸、共、殳	13
庁	チョウ		government office; agency	广	まだれ	广、丁	5	6
署	ショ		government office; to sign	罒	あみがしら	罒、者	13	6
委	イ	ゆだ(ねる)	committee; to entrust	女	おんな	禾、女	8	3
令	レイ		command; order; rule	人	ひとやね	𠆢、卩	5	4
律	リツ、リチ		law; rhythm; regulation	彳	ぎょうにんべん	彳、聿	9	6
籍	セキ		register; membership	竹	たけかんむり	竹、耤	20
韓	カン		Korea	韋	なめしがわ	龺、韋	18
欧	オウ		Europe	欠	あくび	区、欠	8
介	カイ		to mediate; shellfish; concern	人	ひとやね	𠆢、介	4
協	キョウ		cooperation; to collaborate	十	じゅう	十、劦	8	4
省	セイ、ショウ	かえり(みる)、はぶ(く)	ministry; to reflect; to omit	目	め	少、目	9	4
