# study knowledge kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
述	ジュツ	の(べる)	to state; to mention	辶	しんにょう	朮、辶	8	5
練	レン	ね(る)	to train; to knead	糸	いとへん	糸、東	14	3
訓	クン		instruction; Japanese reading	言	ごんべん	言、川	10	4
算	サン		calculation; to count	竹	たけかんむり	竹、目、廾	14	2
課	カ		lesson; section; to assign	言	ごんべん	言、果	15	4
専	セン	もっぱ(ら)	specialty; exclusive	寸	すん	甲、寸	9	6
卒	ソツ		to graduate; soldier	十	じゅう	亠、从、十	8	4
講	コウ		lecture; to study; peace	言	ごんべん	言、冓	17	5
査	サ		to investigate; to inspect	木	き	木、且	9	5
測	ソク	はか(る)	to measure; to fathom	氵	さんずい	氵、則	12	5
紹	ショウ		to introduce; to inherit	糸	いとへん	糸、召	11
承	ショウ	うけたまわ(る)	to acknowledge; to consent	手	て	氶、水	8	5
伸	シン	の(びる)、の(ばす)	to stretch; to extend	亻	にんべん	亻、申	7
叫	キョウ	さけ(ぶ)	to shout; to cry out	口	くちへん	口、丩	6
占	セン	し(める)、うらな(う)	to occupy; to tell fortunes	卜	ぼく	卜、口	5
伺	シ	うかが(う)	to ask/visit (humble); to inquire	亻	にんべん	亻、司	7
肯	コウ		to consent; to agree; affirmative	月	にくづき	止、月	8
詰	キツ	つ(める)、つ(まる)、つ(む)	to stuff; to pack; to be blocked	言	ごんべん	言、吉	13
技	ギ	わざ	skill; art	扌	てへん	扌、支	7	5
競	キョウ、ケイ	きそ(う)、せ(る)	to compete; to vie	立	たつ	竟、竟	20	4
郵	ユウ		mail; post	阝	おおざと	垂、阝	11	6
