# Things & materials kanji (N2, grade 4).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
貨	カ		freight; goods; money	貝	かい	化、貝	11	4
材	ザイ		material; timber; talent	木	きへん	木、才	7	4
鏡	キョウ	かがみ	mirror	金	かねへん	金、竟	19	4
結	ケツ	むす(ぶ)、ゆ(う)	to tie; to conclude; result	糸	いとへん	糸、吉	12	4
欠	ケツ	か(ける)、か(く)	lack; to be missing	欠	あくび		4	4
包	ホウ	つつ(む)	to wrap; to envelop	勹	つつみがまえ	勹、巳	5	4
便	ベン、ビン		convenience; mail; excrement	亻	にんべん	亻、更	9	4
害	ガイ		harm; damage; injury	宀	うかんむり	宀、龶、口	10	4
特	トク		special; particular	牛	うしへん	牜、寺	10	4
辞	ジ	や(める)	word; to resign; to decline	辛	からい	舌、辛	13	4
辺	ヘン	あた(り)、べ	vicinity; area; side	辶	しんにょう	辶、刀	5	4
粉	フン	こ、こな	powder; flour	米	こめへん	米、分	10	4
牧	ボク	まき	pasture; to graze; herd	牛	うしへん	牜、攵	8	4
協	キョウ		cooperation; to collaborate	十	じゅう	十、劦	8	4
