# tools objects kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
線	セン		line; track; wire	糸	いとへん	糸、泉	15	2
設	セツ	もう(ける)	to establish; to set up	言	ごんべん	言、殳	11	5
鉄	テツ		iron; railway	金	かねへん	金、失	13	3
材	ザイ		material; timber; talent	木	きへん	木、才	7	4
帯	タイ	お(びる)、おび	belt; sash; zone; to wear	巾	はば	龶、冖、巾	10	4
管	カン	くだ	pipe; tube; to control	竹	たけかんむり	竹、官	14	4
板	ハン、バン	いた	board; plank	木	きへん	木、反	8	3
宝	ホウ	たから	treasure	宀	うかんむり	宀、玉	8	6
荷	カ	に	luggage; load; cargo	艹	くさかんむり	艹、何	10	3
液	エキ		liquid; fluid; juice	氵	さんずい	氵、夜	11	5
袋	タイ	ふくろ	bag; sack; pouch	衣	ころも	代、衣	11
毒	ドク		poison; harm	毋	なかれ	龶、毋	8	4
札	サツ	ふだ	bill (money); tag; label	木	きへん	木、乚	5	4
灯	トウ	ひ	lamp; light	火	ひへん	火、丁	6	4
棒	ボウ		stick; pole; rod	木	きへん	木、奉	12	6
柱	チュウ	はしら	pillar; post; column	木	きへん	木、主	9	3
械	カイ		machine; contraption	木	きへん	木、戒	11	4
皿		さら	plate; dish	皿	さら		5	3
机	キ	つくえ	desk; table	木	きへん	木、几	6	6
針	シン	はり	needle; pin; hand (clock)	金	かねへん	金、十	10	6
装	ソウ、ショウ	よそお(う)	to dress; to equip; attire	衣	ころも	壮、衣	12	6
革	カク	かわ	leather; reform	革	かわ		9	6
布	フ	ぬの	cloth; to spread	巾	はば	𠂇、巾	5	5
筒	トウ	つつ	tube; pipe; cylinder	竹	たけかんむり	竹、同	12
瓶	ビン		bottle; jar; vase	瓦	かわら	并、瓦	11
帽	ボウ		hat; cap	巾	はばへん	巾、冒	12
缶	カン		can; tin; jar	缶	ほとぎ		6
符	フ		mark; sign; charm; token	竹	たけかんむり	竹、付	11
銅	ドウ		copper; bronze	金	かねへん	金、同	14	5
衣	イ	ころも	clothing; garment	衣	ころも		6	4
畳	ジョウ	たたみ、たた(む)	tatami; to fold	田	た	田、宜	12
築	チク	きず(く)	to build; to construct	竹	たけかんむり	竹、巩、木	16	5
鉱	コウ		ore; mineral; mine	金	かねへん	金、広	13	5
