# verbs handle kanji (N2).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
改	カイ	あらた(める)	to reform; to revise	攵	ぼくづくり	己、攵	7	4
移	イ	うつ(る)、うつ(す)	to shift; to transfer	禾	のぎへん	禾、多	11	5
接	セツ	つ(ぐ)	to touch; to connect; contact	扌	てへん	扌、妾	11	5
防	ボウ	ふせ(ぐ)	to prevent; to defend	阝	こざとへん	阝、方	7	5
導	ドウ	みちび(く)	to guide; to lead	寸	すん	道、寸	15	5
担	タン	かつ(ぐ)、にな(う)	to carry; to bear; to shoulder	扌	てへん	扌、旦	8	6
効	コウ	き(く)	effect; efficacy	力	ちから	交、力	8	5
触	ショク	ふ(れる)、さわ(る)	to touch; to feel; contact	角	つのへん	角、虫	13
刺	シ	さ(す)、さ(さる)	to pierce; to stab; thorn	刂	りっとう	朿、刂	8
被	ヒ	こうむ(る)	to suffer; to incur; -ed	衤	ころもへん	衤、皮	10
含	ガン	ふく(む)、ふく(める)	to contain; to include	口	くち	今、口	7
補	ホ	おぎな(う)	to supplement; to compensate	衤	ころもへん	衤、甫	12	6
暴	ボウ、バク	あば(く)、あば(れる)	violence; to expose; to rage	日	ひ	日、共、氺	15	5
捨	シャ	す(てる)	to throw away; to abandon	扌	てへん	扌、舎	11	6
替	タイ	か(える)、か(わる)	to replace; to exchange	曰	ひらび	龹、曰	12
換	カン	か(える)、か(わる)	to exchange; to convert	扌	てへん	扌、奐	12
捜	ソウ	さが(す)	to search; to look for	扌	てへん	扌、叟	10
包	ホウ	つつ(む)	to wrap; to envelop	勹	つつみがまえ	勹、巳	5	4
混	コン	ま(じる)、ま(ざる)、こ(む)	to mix; to be crowded	氵	さんずい	氵、昆	11	5
禁	キン		prohibition; to forbid	示	しめす	林、示	13	5
絡	ラク	から(む)、から(まる)	to entwine; to coil; contact	糸	いとへん	糸、各	12
採	サイ	と(る)	to pick; to adopt; to gather	扌	てへん	扌、采	11	5
傾	ケイ	かたむ(く)、かたむ(ける)	to lean; to incline	亻	にんべん	亻、頃	13
沈	チン	しず(む)、しず(める)	to sink; to submerge	氵	さんずい	氵、冘	7
泊	ハク	と(まる)、と(める)	to stay overnight; to anchor	氵	さんずい	氵、白	8
依	イ、エ		to depend on; reliance	亻	にんべん	亻、衣	8
斬	ザン	き(る)	to behead; to cut; novel	斤	おの	車、斤	11
昇	ショウ	のぼ(る)	to rise; to ascend	日	ひ	日、升	8
燃	ネン	も(える)、も(やす)、も(す)	to burn; to be in flames	火	ひへん	火、然	16	5
狙	ソ	ねら(う)	to aim at; to target	犭	けものへん	犭、且	8
浴	ヨク	あ(びる)、あ(びせる)	to bathe; to be showered	氵	さんずい	氵、谷	10	4
停	テイ		to stop; to halt	亻	にんべん	亻、亭	11	4
埋	マイ	う(める)、う(まる)、う(もれる)	to bury; to fill	土	つちへん	土、里	10
掘	クツ	ほ(る)	to dig; to excavate	扌	てへん	扌、屈	11
干	カン	ほ(す)、ひ(る)	to dry; to ebb; dry	干	かん		3	6
掃	ソウ	は(く)	to sweep; to clean	扌	てへん	扌、帚	11
拾	シュウ、ジュウ	ひろ(う)	to pick up	扌	てへん	扌、合	9	3
刷	サツ	す(る)	to print	刂	りっとう	尸、巾、刂	8	4
召	ショウ	め(す)	to summon; to call	口	くち	刀、口	5
磨	マ	みが(く)	to polish; to grind	石	いし	麻、石	16
喫	キツ		to consume; to eat/drink/smoke	口	くちへん	口、契	12
贈	ゾウ、ソウ	おく(る)	to present; to give a gift	貝	かい	貝、曽	18
凍	トウ	こお(る)、こご(える)	to freeze; to congeal	冫	にすい	冫、東	10
挟	キョウ	はさ(む)、はさ(まる)	to pinch; to hold between	扌	てへん	扌、夹	9
濯	タク		to wash; to rinse	氵	さんずい	氵、翟	17
沸	フツ	わ(く)、わ(かす)	to boil; to seethe	氵	さんずい	氵、弗	8
塗	ト	ぬ(る)	to paint; to coat; to plaster	土	つち	涂、土	13
硬	コウ	かた(い)	hard; stiff; rigid	石	いしへん	石、更	12
造	ゾウ	つく(る)	to make; to build; structure	辶	しんにょう	告、辶	10	5
減	ゲン	へ(る)、へ(らす)	to decrease	氵	さんずい	氵、咸	12	5
照	ショウ	て(る)、て(らす)	to shine; to illuminate	灬	れっか	昭、灬	13	4
爆	バク		to explode; bomb	火	ひへん	火、暴	19
届		とど(く)、とど(ける)	to reach; to deliver; to report	尸	しかばね	尸、由	8
延	エン	の(びる)、の(ばす)	to extend; to postpone	廴	えんにょう	延	8	6
