# Adjective kanji (N3). 新古多少強広明重楽悪 live in n4/adjectives.tsv.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
暗	アン	くら(い)	dark	日	ひへん	日、音	13	3
美	ビ	うつく(しい)	beautiful	羊	ひつじ	羊、大	9	3
細	サイ	ほそ(い)、こま(かい)	thin; detailed	糸	いとへん	糸、田	11	2
太	タイ、タ	ふと(い)、ふと(る)	thick; fat	大	だい	大、丶	4	2
軽	ケイ	かる(い)	light (weight)	車	くるまへん	車、圣	12	3
暑	ショ	あつ(い)	hot (weather)	日	ひ	日、者	12	3
寒	カン	さむ(い)	cold (weather)	宀	うかんむり	宀、井、八、冫	12	3
速	ソク	はや(い)、はや(める)	fast; rapid	辶	しんにょう	束、辶	10	3
深	シン	ふか(い)	deep	氵	さんずい	氵、罙	11	3
浅	セン	あさ(い)	shallow	氵	さんずい	氵、戔	9	4
苦	ク	くる(しい)、にが(い)	painful; bitter	艹	くさかんむり	艹、古	8	3
弱	ジャク	よわ(い)、よわ(る)	weak	弓	ゆみ	弓、冫	10	2
暖	ダン	あたた(かい)、あたた(まる)	warm	日	ひへん	日、爰	13	6
遅	チ	おそ(い)、おく(れる)	slow; late	辶	しんにょう	犀、辶	12
