# Economy & money kanji (N3). 円銀料 live in n5/ and n4/.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
経	ケイ、キョウ	へ(る)	to pass through; economy; sutra	糸	いとへん	糸、巠	11	5
済	サイ	す(む)、す(ます)	to finish; to settle	氵	さんずい	氵、斉	11	6
費	ヒ	つい(やす)	expense; to spend	貝	かい	弗、貝	12	4
価	カ	あたい	value; price	亻	にんべん	亻、覀	8	5
産	サン	う(む)、う(まれる)	to produce; childbirth	生	うまれる	产、生	11	4
商	ショウ	あきな(う)	commerce; to trade	口	くち	立、冂、口	11	3
税	ゼイ		tax	禾	のぎへん	禾、兌	12	5
億	オク		hundred million	亻	にんべん	亻、意	15	4
貯	チョ		to save up; to store	貝	かい	貝、宁	12	5
貿	ボウ		trade	貝	かい	卯、貝	12	5
給	キュウ		salary; to supply	糸	いとへん	糸、合	12	4
収	シュウ	おさ(める)、おさ(まる)	to obtain; income	又	また	丩、又	4	6
支	シ	ささ(える)	to support; branch	支	しにょう	十、又	4	5
損	ソン	そこ(なう)、そこ(ねる)	loss; to harm	扌	てへん	扌、員	13	5
