# Additional grade-3 kanji (N3), set C.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
神	シン、ジン	かみ、かん	god; spirit	礻	しめすへん	礻、申	9	3
相	ソウ、ショウ	あい	mutual; aspect; minister	目	め	木、目	9	3
想	ソウ、ソ		thought; idea; to imagine	心	こころ	相、心	13	3
対	タイ、ツイ		opposite; versus; pair	寸	すん	文、寸	7	3
代	ダイ、タイ	か(わる)、か(える)、よ、しろ	to substitute; era; price	亻	にんべん	亻、弋	5	3
第	ダイ		ordinal prefix; degree	竹	たけかんむり	竹、弟	11	3
炭	タン	すみ	charcoal; coal	火	ひ	山、厂、火	9	3
短	タン	みじか(い)	short; brief	矢	やへん	矢、豆	12	3
談	ダン		conversation; to discuss	言	ごんべん	言、炎	15	3
着	チャク、ジャク	き(る)、つ(く)、つ(ける)	to wear; to arrive	目	め	龹、目	12	3
柱	チュウ	はしら	pillar; post; column	木	きへん	木、主	9	3
丁	チョウ、テイ		block; even; counter for tools	一	いち		2	3
帳	チョウ		notebook; register; curtain	巾	はばへん	巾、長	11	3
