# Additional grade-3 kanji (N3), set D.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
定	テイ、ジョウ	さだ(める)、さだ(まる)	to fix; to decide; fixed	宀	うかんむり	宀、疋	8	3
笛	テキ	ふえ	flute; whistle	竹	たけかんむり	竹、由	11	3
湯	トウ	ゆ	hot water; bath	氵	さんずい	氵、昜	12	3
等	トウ	ひと(しい)、など	equal; class; etcetera	竹	たけかんむり	竹、寺	12	3
童	ドウ	わらべ	child; juvenile	立	たつ	立、里	12	3
農	ノウ		agriculture; farming	辰	しんのたつ	曲、辰	13	3
倍	バイ		double; -fold; times	亻	にんべん	亻、咅	10	3
箱	ソウ	はこ	box; case	竹	たけかんむり	竹、相	15	3
畑		はた、はたけ	field (dry); cultivated field	田	たへん	火、田	9	3
発	ハツ、ホツ		departure; to emit; to start	癶	はつがしら	癶、弓、殳	9	3
坂	ハン	さか	slope; hill	土	つちへん	土、反	7	3
板	ハン、バン	いた	board; plank	木	きへん	木、反	8	3
筆	ヒツ	ふで	writing brush; pen	竹	たけかんむり	竹、聿	12	3
