# Additional grade-3/4 kanji (N3), set F.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
愛	アイ		love; affection	心	こころ	爫、冖、心、夂	13	4
以	イ		by means of; from; than	人	ひと	㠯、人	5	4
位	イ	くらい	rank; position; grade	亻	にんべん	亻、立	7	4
完	カン		complete; perfect	宀	うかんむり	宀、元	7	4
好	コウ	す(く)、この(む)	to like; favorable	女	おんなへん	女、子	6	4
約	ヤク		promise; approximately; to reduce	糸	いとへん	糸、勺	9	4
未	ミ		not yet; un-	木	き	一、木	5	4
無	ム、ブ	な(い)	nothing; without	灬	れっか	無、灬	12	4
良	リョウ	よ(い)	good; fine	艮	こん	丶、艮	7	4
芽	ガ	め	bud; sprout	艹	くさかんむり	艹、牙	8	4
脈	ミャク		pulse; vein	月	にくづき	月、𠂢	10	4
養	ヨウ	やしな(う)	to foster; to nourish	食	しょく	羊、食	15	4
梅	バイ	うめ	plum; ume	木	きへん	木、毎	10	4
松	ショウ	まつ	pine tree	木	きへん	木、公	8	4
巣	ソウ	す	nest; den; hive	巛	かわ	⺍、田、木	11	4
観	カン		view; to observe; appearance	見	みる	雚、見	18	4
司	シ		to administer; official	口	くち	𠃌、一、口	5	4
氏	シ	うじ	clan; family name; Mr.	氏	うじ		4	4
士	シ		samurai; scholar; gentleman	士	さむらい		3	4
隊	タイ		corps; party; squad	阝	こざとへん	阝、㒸	12	4
単	タン		simple; single; mono-	十	じゅう	⺍、田、十	9	4
徒	ト		on foot; companion; in vain	彳	ぎょうにんべん	彳、土、龰	10	4
差	サ	さ(す)	difference; to insert	工	たくみ	龹、工	10	4
最	サイ	もっと(も)	most; extreme	曰	ひらび	曰、取	12	4
束	ソク	たば	bundle; to bind; counter	木	き	木、口	7	4
節	セツ、セチ	ふし	node; season; section; to economize	竹	たけかんむり	竹、即	13	4
典	テン		code; ceremony; rule	八	はち	曲、八	8	4
利	リ	き(く)	advantage; profit; -ly	刂	りっとう	禾、刂	7	4
冷	レイ	つめ(たい)、ひ(える)、さ(める)	cold; to cool	冫	にすい	冫、令	7	4
積	セキ	つ(む)、つ(もる)	to pile up; product; area	禾	のぎへん	禾、責	16	4
景	ケイ		scenery; view; condition	日	ひ	日、京	12	4
功	コウ、ク		achievement; merit; success	力	ちから	工、力	5	4
腸	チョウ		intestines; guts	月	にくづき	月、昜	13	4
博	ハク、バク		doctorate; extensive; exposition	十	じゅう	十、尃	12	4
街	ガイ、カイ	まち	town; street; avenue	行	ぎょうがまえ	行、圭	12	4
郡	グン		county; district	阝	おおざと	君、阝	10	4
径	ケイ		diameter; path	彳	ぎょうにんべん	彳、巠	8	4
倉	ソウ	くら	warehouse; storehouse	人	ひとやね	𠆢、戸、口	10	4
席	セキ		seat; place	巾	はば	广、龹、巾	10	4
熱	ネツ	あつ(い)	heat; fever; passionate	灬	れっか	埶、灬	15	4
鏡	キョウ	かがみ	mirror	金	かねへん	金、竟	19	4
結	ケツ	むす(ぶ)、ゆ(う)	to tie; to conclude; result	糸	いとへん	糸、吉	12	4
欠	ケツ	か(ける)、か(く)	lack; to be missing	欠	あくび		4	4
便	ベン、ビン		convenience; mail; excrement	亻	にんべん	亻、更	9	4
害	ガイ		harm; damage; injury	宀	うかんむり	宀、龶、口	10	4
特	トク		special; particular	牛	うしへん	牜、寺	10	4
辞	ジ	や(める)	word; to resign; to decline	辛	からい	舌、辛	13	4
牧	ボク	まき	pasture; to graze; herd	牛	うしへん	牜、攵	8	4
昨	サク		yesterday; last (year)	日	ひへん	日、乍	9	4
候	コウ	そうろう	climate; season; weather	亻	にんべん	亻、矦	10	4
紀	キ		chronicle; era; account	糸	いとへん	糸、己	9	4
旗	キ	はた	flag; banner	方	ほうへん	方、其	14	4
票	ヒョウ		ballot; ticket; slip	示	しめす	覀、示	11	4
老	ロウ	お(いる)、ふ(ける)	old; to age	耂	おいかんむり	耂、匕	6	4
初	ショ	はじ(め)、はつ、うい、そ(める)	beginning; first	刀	かたな	衤、刀	7	4
救	キュウ	すく(う)	to rescue; to save	攵	ぼくづくり	求、攵	11	4
挙	キョ	あ(げる)、あ(がる)	to raise; to nominate	手	て	龹、手	10	4
殺	サツ、サイ、セツ	ころ(す)	to kill	殳	るまた	杀、殳	10	4
察	サツ		to guess; to perceive; police	宀	うかんむり	宀、祭	14	4
参	サン	まい(る)	to go (humble); to participate	厶	む	厽、人、彡	8	4
散	サン	ち(る)、ち(らす)	to scatter; to disperse	攵	ぼくづくり	龷、月、攵	12	4
唱	ショウ	とな(える)	to chant; to advocate	口	くちへん	口、昌	11	4
置	チ	お(く)	to put; to place	罒	あみがしら	罒、直	13	4
努	ド	つと(める)	to make efforts; to strive	力	ちから	奴、力	7	4
敗	ハイ	やぶ(れる)	defeat; to be defeated	攵	ぼくづくり	貝、攵	11	4
側	ソク	がわ、かわ	side	亻	にんべん	亻、則	11	4
付	フ	つ(ける)、つ(く)	to attach; to grant	亻	にんべん	亻、寸	5	4
