# House, buildings & living kanji (N3). 家 lives in n4/family-people.tsv.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
屋	オク	や	roof; shop; house	尸	しかばね	尸、至	9	3
室	シツ	むろ	room	宀	うかんむり	宀、至	9	2
部	ブ		section; part; copy	阝	おおざと	咅、阝	11	3
窓	ソウ	まど	window	穴	あなかんむり	穴、囪、心	11	6
館	カン	やかた	hall; building	食	しょくへん	飠、官	16	3
堂	ドウ		hall; temple	土	つち	尚、土	11	5
局	キョク		office; bureau	尸	しかばね	尸、句	7	3
店	テン	みせ	shop; store	广	まだれ	广、占	8	2
宿	シュク	やど、やど(る)	inn; lodging	宀	うかんむり	宀、佰	11	3
住	ジュウ	す(む)、す(まう)	to live; to reside	亻	にんべん	亻、主	7	3
居	キョ	い(る)	to be (animate); to reside	尸	しかばね	尸、古	8	5
