# Knowledge & study kanji (N3). 学校究研問答題試験 live in n5/ and n4/.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
級	キュウ		grade; class; rank	糸	いとへん	糸、及	9	3
科	カ		course; section; department	禾	のぎへん	禾、斗	9	2
専	セン	もっぱ(ら)	specialty; exclusive	寸	すん	甲、寸	9	6
課	カ		lesson; section; to assign	言	ごんべん	言、果	15	4
章	ショウ		chapter; badge	立	たつ	音、十	11	3
整	セイ	ととの(える)、ととの(う)	to arrange; to put in order	攵	ぼくづくり	敕、正	16	3
練	レン	ね(る)	to train; to knead	糸	いとへん	糸、東	14	3
習	シュウ	なら(う)	to learn; to practice	羽	はね	羽、白	11	3
復	フク		to restore; again; repeat	彳	ぎょうにんべん	彳、复	12	5
必	ヒツ	かなら(ず)	without fail; necessary	心	こころ	心、丿	5	4
要	ヨウ	い(る)、かなめ	necessary; main point	襾	おおいかんむり	覀、女	9	4
識	シキ		consciousness; knowledge	言	ごんべん	言、戠	19	5
卒	ソツ		to graduate; soldier	十	じゅう	亠、从、十	8	4
査	サ		to investigate; to inspect	木	き	木、且	9	5
