# People & relationships kanji (N3). 親兄弟姉妹夫妻者 live in n4/family-people.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
私	シ	わたし、わたくし	I; private	禾	のぎへん	禾、厶	7	6
君	クン	きみ	you; -kun; lord	口	くち	尹、口	7	3
達	タツ		to reach; attain; -s (plural)	辶	しんにょう	幸、辶	12	4
客	キャク、カク		guest; customer	宀	うかんむり	宀、各	9	3
個	コ		individual; counter for items	亻	にんべん	亻、固	10	5
仲	チュウ	なか	relationship; on good terms	亻	にんべん	亻、中	6	4
関	カン	せき、かか(わる)	connection; barrier	門	もんがまえ	門、关	14	4
係	ケイ	かか(る)、かかり	connection; person in charge	亻	にんべん	亻、系	9	3
他	タ	ほか	other	亻	にんべん	亻、也	5	3
婚	コン		marriage	女	おんなへん	女、昏	11
皆	カイ	みな、みんな	all; everyone	白	しろ	比、白	9
彼	ヒ	かれ、かの	he; that	彳	ぎょうにんべん	彳、皮	8
招	ショウ	まね(く)	to invite; to beckon	扌	てへん	扌、召	8	5
訪	ホウ	おとず(れる)、たず(ねる)	to visit	言	ごんべん	言、方	11	6
