# Speaking, expressing & reporting verb kanji (N3). 話語書読 live in n5/.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
説	セツ、ゼイ	と(く)	to explain; theory	言	ごんべん	言、兌	14	4
議	ギ		deliberation; discussion	言	ごんべん	言、義	20	4
論	ロン		argument; theory	言	ごんべん	言、侖	15	6
報	ホウ	むく(いる)	to report; to repay	土	つち	幸、卩、又	12	5
告	コク	つ(げる)	to tell; to announce	口	くち	牛、口	7	4
伝	デン	つた(える)、つた(わる)	to convey; to transmit	亻	にんべん	亻、云	6	4
調	チョウ	しら(べる)、ととの(える)	to investigate; tone	言	ごんべん	言、周	15	3
表	ヒョウ	おもて、あらわ(す)	surface; to express; table	衣	ころも	龶、衣	8	3
記	キ	しる(す)	to write down; record	言	ごんべん	言、己	10	2
求	キュウ	もと(める)	to request; to seek	氺	したみず	十、一、氺	7	4
申	シン	もう(す)	to say (humble); to report	田	た		5	3
呼	コ	よ(ぶ)	to call; to summon	口	くちへん	口、乎	8	6
示	ジ、シ	しめ(す)	to show; to indicate	示	しめす		5	5
連	レン	つら(なる)、つ(れる)	to link; to take along	辶	しんにょう	車、辶	10	4
