# Motion & physical-action verb kanji (N3).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
走	ソウ	はし(る)	to run	走	そうにょう	土、龰	7	2
飛	ヒ	と(ぶ)、と(ばす)	to fly; to jump	飛	とぶ		9	4
泳	エイ	およ(ぐ)	to swim	氵	さんずい	氵、永	8	3
投	トウ	な(げる)	to throw	扌	てへん	扌、殳	7	3
打	ダ	う(つ)	to hit; to strike	扌	てへん	扌、丁	5	3
引	イン	ひ(く)、ひ(ける)	to pull	弓	ゆみへん	弓、丨	4	2
押	オウ	お(す)、お(さえる)	to push	扌	てへん	扌、甲	8
落	ラク	お(ちる)、お(とす)	to fall; to drop	艹	くさかんむり	艹、洛	12	3
登	トウ、ト	のぼ(る)	to climb	癶	はつがしら	癶、豆	12	3
乗	ジョウ	の(る)、の(せる)	to ride; to board	丿	の	千、北	9	3
帰	キ	かえ(る)、かえ(す)	to return home	巾	はば	刀、ヨ、巾	10	2
遊	ユウ、ユ	あそ(ぶ)	to play	辶	しんにょう	斿、辶	12	3
