# Work, tools & technology kanji (N3). 仕事業工働 live in n4/.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
職	ショク		job; occupation; post	耳	みみへん	耳、戠	18	5
務	ム	つと(める)	duty; to serve	力	ちから	矛、攵、力	11	5
機	キ		machine; opportunity	木	きへん	木、幾	16	4
器	キ	うつわ	vessel; container	口	くち	口、犬	15	4
製	セイ		manufacture; made	衣	ころも	制、衣	14	5
術	ジュツ		technique; art	行	ぎょうがまえ	行、朮	11	5
労	ロウ		labor; toil	力	ちから	⺍、冖、力	7	4
建	ケン	た(てる)、た(つ)	to build; to erect	廴	えんにょう	聿、廴	9	4
資	シ		resources; capital	貝	かい	次、貝	13	5
修	シュウ、シュ	おさ(める)、おさ(まる)	to study; to master	亻	にんべん	亻、攸、彡	10	5
