# Adjective kanji (N4). One character per row.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
新	シン	あたら(しい)、あら(た)	new	斤	おの	立、木、斤	13	2
古	コ	ふる(い)	old	口	くち	十、口	5	2
多	タ	おお(い)	many	夕	ゆうべ	夕、夕	6	2
少	ショウ	すく(ない)、すこ(し)	few; a little	小	しょう		4	2
強	キョウ、ゴウ	つよ(い)、つよ(まる)	strong	弓	ゆみへん	弓、虫	11	2
広	コウ	ひろ(い)、ひろ(がる)	wide; spacious	广	まだれ	广、ム	5	2
明	メイ、ミョウ	あか(るい)、あ(ける)	bright; clear	日	ひへん	日、月	8	2
重	ジュウ、チョウ	おも(い)、かさ(ねる)	heavy; to pile up	里	さと		9	3
楽	ガク、ラク	たの(しい)、たの(しむ)	fun; ease; music	木	き		13	2
悪	アク、オ	わる(い)	bad; evil	心	こころ	亜、心	11	3
