# Body & health kanji (N4). 目耳口手足 live in n5/people-body.tsv.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
頭	トウ、ズ	あたま	head	頁	おおがい	豆、頁	16	2
顔	ガン	かお	face	頁	おおがい	彦、頁	18	2
首	シュ	くび	neck	首	くび	丷、自	9	2
死	シ	し(ぬ)	to die	歹	がつへん	歹、匕	6	3
薬	ヤク	くすり	medicine; drug	艹	くさかんむり	艹、楽	16	3
血	ケツ	ち	blood	血	ち	丿、皿	6	3
鼻	ビ	はな	nose	鼻	はな	自、田、廾	14	3
歯	シ	は	tooth	歯	は	止、米、凵	12	3
力	リョク、リキ	ちから	power; strength	力	ちから		2	1
味	ミ	あじ、あじ(わう)	taste; flavor	口	くちへん	口、未	8	3
命	メイ、ミョウ	いのち	life; command	口	くち	𠆢、一、卩	8	3
