# Counters & quantity kanji (N4). 一〜万 live in n5/numbers.tsv.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
度	ド、ト	たび	degree; time(s)	广	まだれ	广、廿、又	9	3
回	カイ、エ	まわ(る)、まわ(す)	to turn; times	囗	くにがまえ	囗、口	6	2
分	ブン、フン、ブ	わ(ける)、わ(かる)	minute; part; to divide	刀	かたな	八、刀	4	2
台	ダイ、タイ		stand; counter for machines	口	くち	厶、口	5	2
番	バン		number; turn; guard	田	た	釆、田	12	2
号	ゴウ		number; name; sign	口	くち	口、丂	5	3
点	テン		point; dot; mark	灬	れっか	占、灬	9	2
計	ケイ	はか(る)	to measure; plan; total	言	ごんべん	言、十	9	2
数	スウ、ス	かず、かぞ(える)	number; to count	攵	ぼくづくり	婁、攵	13	2
全	ゼン	すべ(て)、まった(く)	all; whole	入	いる	入、王	6	3
合	ゴウ、ガッ、カッ	あ(う)、あ(わせる)	to fit; to combine	口	くち	𠆢、一、口	6	2
両	リョウ		both; counter for vehicles	一	いち		6	3
