# Family & people kanji (N4). 人男女子父母友 live in n5/people-body.tsv.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
親	シン	おや、した(しい)	parent; intimate	見	みる	立、木、見	16	2
兄	ケイ、キョウ	あに	older brother	儿	ひとあし	口、儿	5	2
弟	ダイ、テイ	おとうと	younger brother	弓	ゆみ	丷、弓、丿	7	2
姉	シ	あね	older sister	女	おんなへん	女、市	8	2
妹	マイ	いもうと	younger sister	女	おんなへん	女、未	8	2
家	カ、ケ	いえ、や	house; family	宀	うかんむり	宀、豕	10	2
族	ゾク		tribe; family	方	ほうへん	方、㫃、矢	11	3
者	シャ	もの	person	耂	おいかんむり	耂、日	8	3
夫	フ、フウ	おっと	husband	大	だい	二、人	4	4
妻	サイ	つま	wife	女	おんな	十、ヨ、女	8	5
世	セイ、セ	よ	world; generation; era	一	いち		5	3
