# Geography & places kanji (N4). 山川天 etc. live in n5/nature.tsv.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
地	チ、ジ		ground; land; place	土	つちへん	土、也	6	2
海	カイ	うみ	sea; ocean	氵	さんずい	氵、毎	9	2
野	ヤ	の	field; plain	里	さとへん	里、予	11	2
原	ゲン	はら	plain; field; origin	厂	がんだれ	厂、白、小	10	2
島	トウ	しま	island	山	やま	鳥、山	10	3
京	キョウ、ケイ		capital	亠	なべぶた	亠、口、小	8	2
市	シ	いち	city; market	巾	はば	亠、巾	5	2
区	ク		ward; district	匚	はこがまえ	匚、㐅	4	3
町	チョウ	まち	town; block	田	たへん	田、丁	7	1
村	ソン	むら	village	木	きへん	木、寸	7	1
都	ト、ツ	みやこ	metropolis; capital	阝	おおざと	者、阝	11	3
県	ケン		prefecture	目	め	目、小	9	3
池	チ	いけ	pond	氵	さんずい	氵、也	6	2
