# Daily life & objects kanji (N4).
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
物	ブツ、モツ	もの	thing; object	牛	うしへん	牜、勿	8	3
品	ヒン	しな	goods; article	口	くち	口、口、口	9	3
用	ヨウ	もち(いる)	to use; task; business	用	もちいる		5	2
具	グ		tool; equipment	八	はち	目、八	8	3
服	フク		clothes; to obey	月	つきへん	月、卩、又	8	3
飲	イン	の(む)	to drink	食	しょくへん	飠、欠	12	3
注	チュウ	そそ(ぐ)	to pour; to note	氵	さんずい	氵、主	8	3
理	リ		reason; logic; to manage	王	おうへん	王、里	11	2
切	セツ、サイ	き(る)、き(れる)	to cut; earnest	刀	かたな	七、刀	4	2
作	サク、サ	つく(る)	to make	亻	にんべん	亻、乍	7	2
取	シュ	と(る)	to take	又	また	耳、又	8	3
集	シュウ	あつ(まる)、あつ(める)	to gather	隹	ふるとり	隹、木	12	3
有	ユウ、ウ	あ(る)	to exist; to have	月	つき	ナ、月	6	3
