# Study & work kanji (N4). 会社事業員 live in n4/society.tsv.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
勉	ベン		to make efforts; diligence	力	ちから	免、力	10	3
究	キュウ	きわ(める)	to investigate	穴	あなかんむり	穴、九	7	3
研	ケン	と(ぐ)	to polish; to research	石	いしへん	石、开	9	3
教	キョウ	おし(える)、おそ(わる)	to teach	攵	ぼくづくり	孝、攵	11	2
育	イク	そだ(つ)、そだ(てる)	to raise; to grow	月	にくづき	𠫓、月	8	3
試	シ	こころ(みる)、ため(す)	to try; to test	言	ごんべん	言、式	13	4
験	ケン、ゲン		verification; test	馬	うまへん	馬、僉	18	4
質	シツ、シチ		quality; substance	貝	かい	斦、貝	15	5
問	モン	と(う)、と(い)	question; to ask	口	くち	門、口	11	3
答	トウ	こた(える)、こた(え)	answer; to reply	竹	たけかんむり	竹、合	12	2
題	ダイ		topic; subject	頁	おおがい	是、頁	18	3
工	コウ、ク		craft; construction	工	たくみ		3	2
仕	シ、ジ	つか(える)	to serve; to do; work	亻	にんべん	亻、士	5	3
働	ドウ	はたら(く)	to work; to labor	亻	にんべん	亻、動	13	4
