# Transport & travel kanji (N4). 行来出入歩止 live in n5/verbs.tsv.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
道	ドウ	みち	road; way	辶	しんにょう	首、辶	12	2
駅	エキ		station	馬	うまへん	馬、尺	14	3
運	ウン	はこ(ぶ)	to carry; luck; fate	辶	しんにょう	軍、辶	12	3
転	テン	ころ(がる)、ころ(ぶ)	to roll; to turn	車	くるまへん	車、云	11	3
送	ソウ	おく(る)	to send	辶	しんにょう	关、辶	9	3
通	ツウ	とお(る)、かよ(う)	to pass through; to commute	辶	しんにょう	甬、辶	10	2
急	キュウ	いそ(ぐ)	to hurry; urgent	心	こころ	刍、心	9	3
旅	リョ	たび	trip; travel	方	ほうへん	方、㫃	10	3
進	シン	すす(む)、すす(める)	to advance	辶	しんにょう	隹、辶	11	3
配	ハイ	くば(る)	to distribute; to deliver	酉	とりへん	酉、己	10	3
返	ヘン	かえ(す)、かえ(る)	to return	辶	しんにょう	反、辶	7	3
追	ツイ	お(う)	to chase; to follow	辶	しんにょう	𠂤、辶	9	3
