# Common verb kanji (N4). One character per row.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
思	シ	おも（う）	to think	心	こころ	田、心	9	2
持	ジ	も（つ）	to hold; to have	扌	てへん	扌、寺	9	3
使	シ	つか（う）	to use	亻	にんべん	亻、吏	8	3
待	タイ	ま（つ）	to wait	彳	ぎょうにんべん	彳、寺	9	3
立	リツ、リュウ	た（つ）、た（てる）	to stand	立	たつ		5	1
歩	ホ、ブ	ある（く）、あゆ（む）	to walk	止	とめる	止、少	8	2
始	シ	はじ（める）、はじ（まる）	to begin	女	おんなへん	女、台	8	3
終	シュウ	お（わる）、お（える）	to end; to finish	糸	いとへん	糸、冬	11	3
動	ドウ	うご（く）、うご（かす）	to move	力	ちから	重、力	11	3
止	シ	と（まる）、と（める）	to stop	止	とめる		4	2
