# Nature & the elements kanji (N5). One character per row.
kanji	onyomi	kunyomi	meaning	radical	radical-name	components	strokes	grade
日	ニチ、ジツ	ひ、び、か	day; sun	日	ひ		4	1
月	ゲツ、ガツ	つき	month; moon	月	つき		4	1
火	カ	ひ、ほ	fire	火	ひ		4	1
水	スイ	みず	water	水	みず		4	1
木	ボク、モク	き、こ	tree; wood	木	き		4	1
金	キン、コン	かね、かな	gold; money; metal	金	かね		8	1
土	ド、ト	つち	earth; soil; ground	土	つち		3	1
山	サン	やま	mountain	山	やま		3	1
川	セン	かわ	river	川	かわ		3	1
天	テン	あめ、あま	heaven; sky	大	だい	一、大	4	1
気	キ、ケ		spirit; energy; air	气	きがまえ	气、メ	6	1
雨	ウ	あめ、あま	rain	雨	あめ		8	1
空	クウ	そら、あ.く、から	sky; empty	穴	あなかんむり	穴、工	8	1
花	カ	はな	flower	艹	くさかんむり	艹、化	7	1
