# Concepts (Nouns / Mythology).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english	breakdown
参上	さんじょう	noun	dramatic appearance; arrival	[参: go/participate | 上: up/above]
合掌	がっしょう	noun	prayer with palms together; requiescat	[合: join/together | 掌: palm]
覚醒	かくせい	noun	awakening (sudden power/awareness); arousal	[覚: awaken/sense | 醒: awaken/sober up]
結界	けっかい	noun	barrier (magical/spiritual); protective boundary	[結: tie/bind | 界: boundary/world]
伝説	でんせつ	noun	legend; myth	[伝: transmit/legend | 説: tale/theory]
必殺技	ひっさつわざ	noun	finishing move; special killing technique	[必: certain/sure | 殺: kill | 技: skill/technique]
封印	ふういん	noun	seal; sealing (magic/closure)	[封: seal/close | 印: seal/mark]
変身	へんしん	noun	transformation; changing form	[変: change | 身: body/self]
魔法	まほう	noun	magic	[魔: magic/demon | 法: law/method]
卍解	ばんかい	noun	Bankai; final release (fictional term)	[卍: manji/swirl | 解: release/undo]
神話	しんわ	noun	myth	[神: god/divine | 話: talk/story]
ギリシャ神話	ギリシャしんわ	noun	Greek mythology	[神: god/divine | 話: talk/story]
超能力	ちょうのうりょく	noun	psychic powers; psychic (type)	[超: super/exceed | 能: ability | 力: power/force]
逆鱗	げきりん	noun	dragon’s reverse scale; (idiom) fierce anger	[逆: reverse/inverse | 鱗: scale (fish)]
吉	きち	noun	good luck; good fortune (fortune slip)
大吉	だいきち	noun	great good luck (best fortune)	[大: big/great | 吉: good fortune]
地獄	じごく	noun	hell	[地: ground/earth | 獄: prison/hell]
霊魂	れいこん	noun	soul; spirit	[霊: spirit/soul | 魂: soul/spirit]
