kanji	hiragana	type	english	breakdown
霧	きり	noun	fog
霜	しも	noun	frost
露	つゆ	noun	dew
吹雪	ふぶき	noun	blizzard	[吹: blow | 雪: snow]
にわか雨	にわかあめ	noun	sudden shower
雷雨	らいう	noun	thunderstorm	[雷: thunder/lightning | 雨: rain]
快晴	かいせい	noun	clear weather	[快: pleasant/clear | 晴: clear/fine]
曇天	どんてん	noun	cloudy sky	[曇: cloudy | 天: sky/heaven]
気圧	きあつ	noun	atmospheric pressure	[気: air/atmosphere | 圧: pressure]
湿度	しつど	noun	humidity	[湿: damp/humid | 度: degree/measure]
台風	たいふう	noun	typhoon	[台: typhoon/stand | 風: wind]
竜巻	たつまき	noun	tornado	[竜: dragon | 巻: roll/coil]
天気	てんき	noun	weather	[天: sky/heaven | 気: air/weather]
気候	きこう	noun	climate	[気: air/weather | 候: season/sign]
雨季	うき	noun	rainy season	[雨: rain | 季: season]
曇り	くもり	noun	cloudy weather	[曇: cloudy/overcast]
梅雨	つゆ	noun	rainy season	[梅: plum | 雨: rain]
旋風	せんぷう	noun	whirlwind; sensation	[旋: revolve/whirl | 風: wind]
稲妻	いなずま	noun	lightning; lightning bolt	[稲: rice plant | 妻: wife]
豪雨	ごうう	noun	heavy rain; downpour	[豪: heavy/grand | 雨: rain]
降水	こうすい	noun	precipitation	[降: fall/descend | 水: water]
入道雲	にゅうどうぐも	noun	thunderhead; cumulonimbus cloud	[入: enter | 道: way/path | 雲: cloud]
雲行き	くもゆき	noun	look of the sky; turn of events	[雲: cloud | 行: go/movement]
零下	れいか	noun	below zero; subzero	[零: zero | 下: below/under]
霧雨	きりさめ	noun	drizzle; fine rain	[霧: fog/mist | 雨: rain]
濃霧	のうむ	noun	dense fog	[濃: thick/dense | 霧: fog/mist]
晴れ	はれ	noun	clear weather; sunny	[晴: clear/fine weather]
雷鳴	らいめい	noun	thunderclap; roll of thunder	[雷: thunder/lightning | 鳴: sound/cry]
