# label: 〜歳 (age)
# Counter 〜歳 (age) — counts years old.
# Irregular: 1 いっさい, 8 はっさい, 10 じゅっさい, 20 はたち (二十歳).
kanji	hiragana	type	english
一歳	いっさい	counter	1 years old
二歳	にさい	counter	2 years old
三歳	さんさい	counter	3 years old
四歳	よんさい	counter	4 years old
五歳	ごさい	counter	5 years old
六歳	ろくさい	counter	6 years old
七歳	ななさい	counter	7 years old
八歳	はっさい	counter	8 years old
九歳	きゅうさい	counter	9 years old
十歳	じゅっさい	counter	10 years old
十一歳	じゅういっさい	counter	11 years old
十二歳	じゅうにさい	counter	12 years old
十三歳	じゅうさんさい	counter	13 years old
十四歳	じゅうよんさい	counter	14 years old
十五歳	じゅうごさい	counter	15 years old
十六歳	じゅうろくさい	counter	16 years old
十七歳	じゅうななさい	counter	17 years old
十八歳	じゅうはっさい	counter	18 years old
十九歳	じゅうきゅうさい	counter	19 years old
二十歳	はたち	counter	20 years old
