# Kanji roots (語基) — standalone kanji morphemes used as building blocks.
# Belongs here: a single kanji carrying a meaning that combines with others
# (電+気, 通+常). If it only attaches to the front/end of a word, use
# prefixes.tsv / suffixes.tsv instead. Readings are the on'yomi in hiragana.
kanji	hiragana	type	english
軍	ぐん	morpheme	army; military
剣	けん	morpheme	sword; blade
死	し	morpheme	death; die
思	し	morpheme	think; thought
議	ぎ	morpheme	deliberation; discussion
飛	ひ	morpheme	fly; soar
行	こう	morpheme	go; travel; conduct
甲	こう	morpheme	armor; shell; first rank
羅	ら	morpheme	net; gauze; spread out
通	つう	morpheme	pass through; commute; expert
常	じょう	morpheme	usual; constant; normal
電	でん	morpheme	electricity
気	き	morpheme	spirit; mind; energy; mood; air
促	そく	morpheme	urge; prompt; hasten
進	しん	morpheme	advance; progress
社	しゃ	morpheme	company; shrine; society
部	ぶ	morpheme	section; department; part
成	せい	morpheme	become; form; achieve
清	せい	morpheme	pure; clean; clear
潔	けつ	morpheme	clean; pure; upright
濁	だく	morpheme	muddy; turbid; voiced (phonetics)
分	ぶん	morpheme	part; portion; minute; divide
平	へい	morpheme	flat; calm; ordinary; level
日	にち	morpheme	day; sun
和	わ	morpheme	harmony; peace; Japanese style
定	てい	morpheme	decide; set; fixed
方	ほう	morpheme	direction; side; method
付	ふ	morpheme	attach; add; append
読	どく	morpheme	read
書	しょ	morpheme	write; book; document
訓	くん	morpheme	instruction; training; kun-reading
練	れん	morpheme	practice; train; refine
送	そう	morpheme	send; see off; transmit
料	りょう	morpheme	fee; charge; materials
見	けん	morpheme	see; look; view
国	こく	morpheme	country; nation
人	じん	morpheme	person; people
心	しん	morpheme	heart; mind; core
力	りょく	morpheme	power; strength; force
水	すい	morpheme	water
火	か	morpheme	fire
手	しゅ	morpheme	hand; person; means
生	せい	morpheme	life; birth; raw; student
物	ぶつ	morpheme	thing; object; matter
事	じ	morpheme	matter; affair; thing
自	じ	morpheme	self; oneself
同	どう	morpheme	same; identical
体	たい	morpheme	body; form; substance
用	よう	morpheme	use; service; business
動	どう	morpheme	move; motion; change
時	じ	morpheme	time; hour
間	かん	morpheme	interval; space; between
高	こう	morpheme	high; tall; expensive
食	しょく	morpheme	eat; food; meal
言	げん	morpheme	say; word; speech
知	ち	morpheme	know; knowledge; wisdom
立	りつ	morpheme	stand; establish; set up
