# Practical & difficulty — everyday practical qualities of things/tasks.
# Belongs here: convenience (便利, 不便), ease vs. difficulty (簡単, 複雑,
# 単純, 大変), and freedom/comfort (自由, 楽). Certainty/safety go in
# certainty.tsv.
kanji	hiragana	type	english
便利	べんり	na-adjective	convenient; useful
不便	ふべん	na-adjective	inconvenient
簡単	かんたん	na-adjective	easy; simple
複雑	ふくざつ	na-adjective	complicated; complex
単純	たんじゅん	na-adjective	simple; uncomplicated
自由	じゆう	na-adjective	free; freedom
楽	らく	na-adjective	easy; comfortable
大変	たいへん	na-adjective	tough; hard; serious; very (adverbial use also common)
高め	たかめ	na-adjective	rather high; on the high side
不自由	ふじゆう	na-adjective	restricted; inconvenient; lacking freedom
快適	かいてき	na-adjective	comfortable; pleasant
