# label: Time of Day
# Time of Day (Nouns / Time).
# Auto-grouped during the nouns reorg; refine membership as needed.
kanji	hiragana	type	english	breakdown
午後	ごご	noun	afternoon (p.m.)	[午: noon | 後: after/behind]
真夜中	まよなか	noun	midnight; dead of night	[真: true/dead | 夜: night | 中: middle]
夕方	ゆうがた	noun	evening; late afternoon	[夕: evening | 方: direction/time]
今	いま	noun	now
朝	あさ	noun	morning
昼	ひる	noun	daytime; noon
夜	よる	noun	night
深夜	しんや	noun	late night; the small hours	[深: deep | 夜: night]
昼間	ひるま	noun	daytime	[昼: daytime/noon | 間: interval/space]
明け方	あけがた	noun	dawn; daybreak	[明: bright/dawn | 方: direction/time]
