kanji	hiragana	type	english
犬	いぬ	noun	dog
猫	ねこ	noun	cat
鳥	とり	noun	bird
魚	さかな	noun	fish
牛	うし	noun	cow; cattle
馬	うま	noun	horse
羊	ひつじ	noun	sheep
蜥蜴	とかげ	noun	lizard
亀	かめ	noun	turtle; tortoise
猿	さる	noun	monkey
狐	きつね	noun	fox
蛇	へび	noun	snake
鳩	はと	noun	pigeon; dove
豚	ぶた	noun	pig
山羊	やぎ	noun	goat
鶏	にわとり	noun	chicken
兎	うさぎ	noun	rabbit
蛙	かえる	noun	frog
熊	くま	noun	bear
虎	とら	noun	tiger
獅子	しし	noun	lion
象	ぞう	noun	elephant
鹿	しか	noun	deer
狼	おおかみ	noun	wolf
鼠	ねずみ	noun	mouse; rat
子犬	こいぬ	noun	puppy
番犬	ばんけん	noun	guard dog
子猫	こねこ	noun	kitten
野良猫	のらねこ	noun	stray cat
小鳥	ことり	noun	small bird
金魚	きんぎょ	noun	goldfish
乳牛	にゅうぎゅう	noun	dairy cow
子豚	こぶた	noun	piglet
子羊	こひつじ	noun	lamb
白兎	しろうさぎ	noun	white rabbit
海亀	うみがめ	noun	sea turtle
雨蛙	あまがえる	noun	tree frog
白鼠	しろねずみ	noun	white mouse
黒豹	くろひょう	noun	black panther
人食い鮫	ひとくいざめ	noun	man-eating shark
車海老	くるまえび	noun	kuruma prawn
毛蟹	けがに	noun	hairy crab
毒蛇	どくじゃ	noun	venomous snake
蟻地獄	ありじごく	noun	antlion
胡蝶	こちょう	noun	butterfly (poetic)
伝書鳩	でんしょばと	noun	carrier pigeon
豹	ひょう	noun	leopard
駱駝	らくだ	noun	camel
イルカ	イルカ	noun	dolphin
鯨	くじら	noun	whale
鮫	さめ	noun	shark
蛸	たこ	noun	octopus
海老	えび	noun	shrimp
蟹	かに	noun	crab
蜂	はち	noun	bee
蟻	あり	noun	ant
蝶	ちょう	noun	butterfly
蝿	はえ	noun	fly (insect)
蚊	か	noun	mosquito
梟	ふくろう	noun	owl
鷹	たか	noun	hawk
孔雀	くじゃく	noun	peacock
トラ	トラ	noun	tiger
甲羅	こうら	noun	shell; carapace
鴨	かも	noun	duck
鯉	こい	noun	carp
雀	すずめ	noun	sparrow
黴	かび	noun	mold; mildew
猟犬	りょうけん	noun	hunting dog
雀蜂	すずめばち	noun	hornet
巣	す	noun	nest
海月	くらげ	noun	jellyfish
虫	むし	noun	insect; bug; worm
柴犬	しばいぬ	noun	Shiba Inu (dog breed)
昆虫	こんちゅう	noun	insect
蝶々	ちょうちょう	noun	butterfly
